website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms,geometry,StatistikdistriktNavn,counts
boligzonen.dk,2023,room,4500,97,8000,Janus La Cours Gade,Aarhus C,4,"LINESTRING (574433.8346669124 6224294.882777312, 574423.238756992 6224286.924397217, 574414.2095574879 6224279.335941825, 574405.2050955166 6224270.5477306405, 574397.4787394112 6224261.779515385, 574389.6122039527 6224250.941721386, 574381.960060446 6224238.724208226, 574376.6744742523 6224228.49629009, 574372.460847817 6224218.418341426, 574368.3131881361 6224205.590952405, 574358.9871382372 6224186.174904485)",Stat dist: 01.60,183.0
boligzonen.dk,2023,apartment,10700,88,8200,Niels Juels Gade,Aarhus N,2,"LINESTRING (575700.7179387133 6225614.164241385, 575621.5908168484 6225635.799837522, 575559.1285463058 6225652.566424732, 575501.4571112993 6225668.803119799, 575484.9901602401 6225673.122240655, 575436.2077453847 6225686.499517749, 575424.7542676574 6225689.938817689, 575328.0140223762 6225717.203268089, 575239.6680465883 6225740.958432795)",Stat dist: 01.00,499.0
boligzonen.dk,2023,apartment,9200,64,8000,Peter Sabroes Gade,Aarhus C,2,"LINESTRING (575251.080295094 6225139.970762096, 575256.9595820771 6225155.24765253, 575259.6724648505 6225163.735924766, 575261.1484709795 6225170.86447377, 575260.8021455191 6225178.662886427, 575258.4273423618 6225187.261136278, 575254.8074167158 6225196.319292516, 575236.3697088698 6225242.589874273, 575220.6448837973 6225282.861677064, 575207.9710211143 6225303.907393269, 575203.6666903917 6225312.395665506, 575198.5790044611 6225325.742948705, 575158.6443805352 6225424.732799607, 575152.534209912 6225440.909506885, 575147.5619658014 6225453.696904047, 575144.1646779514 6225461.725269897, 575139.753151253 6225472.253126982, 575136.9248266595 6225479.601631215, 575091.0202114633 6225582.840617218, 575052.4708893794 6225675.521752241, 575058.449126494 6225702.826194501)",Stat dist: 01.20,9.0
boligzonen.dk,2023,room,3500,40,8270,Christian X's Vej,Højbjerg,1,"LINESTRING (573011.7563596157 6221621.596916918, 573017.0996667196 6221595.132303713, 573011.6574094841 6221475.956561591, 573007.3200953844 6221411.409699918, 573004.4587874137 6221388.244415144, 573000.3688486429 6221358.300510139, 572994.1267445107 6221323.137667434, 572990.5892773077 6221305.501257275, 572985.7572125503 6221283.245787311, 572979.539845951 6221257.081113055, 572968.6305939474 6221209.280842662, 572959.3787566472 6221173.508124095, 572941.881075051 6221099.863114324, 572932.8518755469 6221062.240772243, 572913.4823872953 6220980.1974719195, 572902.4659393159 6220936.646336627, 572878.2231570855 6220832.677499183, 572869.1692200485 6220792.065765584, 572854.2359960283 6220731.3481244845, 572840.0366521504 6220674.589677502, 572837.9751910764 6220665.361555859, 572827.8740318138 6220619.840821474, 572815.6454447227 6220568.151342718, 572801.1492504503 6220508.3735103225, 572786.9993816382 6220450.975193583, 572758.74911908 6220332.789249991, 572757.2896046396 6220324.15100828, 572756.1846615039 6220317.802300541, 572755.5579773374 6220308.7041524425, 572756.102203061 6220302.015513896, 572758.1141890693 6220292.077536742)",Stat dist: 02.20,276.0
boligzonen.dk,2023,apartment,4490,42,8260,Grøfthøjparken,Viby J,1,"LINESTRING (570505.8277863575 6220465.252287523, 570531.5960497827 6220465.092320084, 570733.2646637312 6220462.722802392)",Stat dist: 02.40,892.0
boligzonen.dk,2023,room,3500,15,8200,Bodøvej,Aarhus N,1,"LINESTRING (573690.1419698517 6226812.980225858, 573698.1321929746 6226815.659680463, 573703.3353207255 6226818.229157453, 573717.3779935616 6226826.91738899, 573746.329152885 6226844.523805254, 573752.5877487058 6226848.542987161)",Stat dist: 05.40,81.0
boligzonen.dk,2023,apartment,7785,64,8200,Tulipanhaven,Aarhus N,3,"LINESTRING (570182.747360994 6227945.769649847, 570234.0859875812 6227932.862277105, 570284.0145747937 6227924.563966203)",Stat dist: 06.10,1.0
boligzonen.dk,2023,room,2634,24,8000,Molsgade,Aarhus C,1,"LINESTRING (575463.8560613092 6224812.29745905, 575415.8075265962 6224844.940814589, 575389.1816953643 6224862.797179977, 575367.2230120038 6224878.284027674)",Stat dist: 01.32,104.0
boligzonen.dk,2023,apartment,8000,63,8000,Eckersbergsgade,Aarhus C,2,"LINESTRING (574279.6703619536 6223627.82855427, 574279.5054450677 6223626.578808652, 574269.4207774935 6223565.33127541, 574264.003257791 6223534.097632928, 574263.9867661025 6223533.227809978, 574252.137487849 6223461.762356564, 574249.1195088367 6223447.085344028)",Stat dist: 01.70,167.0
boligzonen.dk,2023,apartment,8000,96,8000,Hans Broges Gade,Aarhus C,4,"LINESTRING (574813.316667261 6222592.069380054, 574795.9756567064 6222593.729042235, 574788.5791343729 6222593.729042235, 574781.3392830809 6222592.979194864, 574777.1174108014 6222591.019593735, 574773.4974851554 6222588.910023132, 574771.9884956492 6222586.340546141, 574771.3865490156 6222581.661498548, 574770.9330275793 6222578.192204713, 574771.6833994102 6222575.172819301, 574772.2853460439 6222573.213218171, 574773.79433555 6222570.353800198, 574774.5529532253 6222568.544168543, 574775.7568464925 6222565.224844182, 574777.8677826322 6222562.5053977175, 574780.283815011 6222558.58619546, 574786.773294472 6222553.907147867, 574793.1061028914 6222551.947546737, 574804.2709760682 6222549.378069747)",Stat dist: 01.80,284.0
boligzonen.dk,2023,apartment,8000,50,8000,Åboulevarden,Aarhus C,2,"LINESTRING (574853.6306000244 6224150.1222429, 574773.79433555 6224117.128958588, 574753.8641298865 6224108.570700596, 574693.1169949574 6224085.075482979, 574621.4276246476 6224058.520888091)",Stat dist: 00.50,150.0
boligzonen.dk,2023,apartment,11395,101,8260,Viby Torv,Viby J,4,"LINESTRING (572250.6484394016 6221007.271960986, 572281.3889469374 6220988.825715666, 572300.1812260881 6220978.527811774, 572339.060381944 6220959.251735364)",Stat dist: 02.30,103.0
boligzonen.dk,2023,apartment,16100,130,8000,Nyborggade,Aarhus C,5,"LINESTRING (574832.6696638238 6222803.616320286, 574905.2166019405 6222800.32698982)",Stat dist: 01.80,54.0
boligzonen.dk,2023,apartment,7500,60,8000,Mejlgade,Aarhus C,2,"LINESTRING (575469.1004182816 6224813.157284034, 575472.1843640483 6224818.806134228, 575484.5119012708 6224839.871846363, 575490.3334673439 6224851.349510117)",Stat dist: 00.20,399.0
boligzonen.dk,2023,apartment,12095,89,8000,Ålborggade,Aarhus C,3,"LINESTRING (574272.9582446966 6222681.751125595, 574194.3176276451 6222669.32365517, 574116.0563194313 6222656.446276323, 574048.3909211379 6222645.798443658, 574036.4674302859 6222638.279974021, 574031.346760978 6222635.14061303, 574009.9735325626 6222614.474819492)",Stat dist: 01.90,269.0
boligzonen.dk,2023,apartment,6695,52,8210,Vintervej,Aarhus V,2,"LINESTRING (571301.5517609264 6226258.0431816885, 571304.2646436997 6226264.941777499, 571305.831354116 6226268.221110001, 571308.3380907819 6226270.420662289, 571313.1866472281 6226271.360470993, 571342.3027234374 6226274.169899142, 571349.031332383 6226276.049516551, 571370.0087602722 6226283.717955663, 571374.8573167182 6226286.377414337, 571377.8340665092 6226289.666744804, 571378.4607506756 6226291.706329652, 571385.3460306628 6226337.716964321)",Stat dist: 03.51,203.0
boligzonen.dk,2023,apartment,8500,70,8000,Vesterport,Aarhus C,2,"LINESTRING (574543.9661633305 6224248.052309518, 574539.9339454698 6224270.857667553, 574538.3672350536 6224280.585687443, 574536.1326112493 6224290.293711402, 574533.9144791337 6224298.72199585, 574531.3747590905 6224306.660380015, 574529.3875106152 6224312.379215962, 574525.6191597718 6224321.717315219, 574521.4962376239 6224332.025217076, 574518.997746802 6224337.574087619, 574516.1364388313 6224343.062970373)",Stat dist: 00.40,54.0
boligzonen.dk,2023,room,4805,33,8000,Fredensgade,Aarhus C,1,"LINESTRING (575127.9780855983 6223888.875418935, 575107.5036542112 6223831.477102197, 575066.8763793645 6223716.670470755, 575062.6627529293 6223707.002438654, 575062.3906400675 6223696.004677217, 575040.3577441084 6223632.827536741, 575028.3353031249 6223598.144596353)",Stat dist: 00.60,233.0
boligzonen.dk,2023,apartment,9900,103,8000,Daugbjergvej,Aarhus C,3,"LINESTRING (573787.3357365693 6223975.487789238, 573772.1303996873 6223974.268037515, 573732.1133173186 6223970.998702979, 573629.2546555697 6223963.360257762, 573489.2896944885 6223952.102549236, 573467.0011773563 6223951.262720181)",Stat dist: 01.60,219.0
boligzonen.dk,2023,apartment,8876,70,8200,Lyøgade,Aarhus N,3,"LINESTRING (574607.6570646733 6226041.537250845, 574593.0041993591 6226053.164884074, 574578.9285431458 6226064.802515267, 574568.5140417998 6226073.130820066, 574559.8641511333 6226078.829660083, 574551.2307521553 6226083.81864459, 574537.4601921809 6226089.417504958, 574523.9040241583 6226093.766619708, 574503.5285429027 6226100.045341692)",Stat dist: 05.70,65.0
boligzonen.dk,2023,apartment,6500,48,8200,Skejbyparken,Aarhus N,2,"LINESTRING (573661.3722191028 6228570.982389602, 573707.9117643097 6228593.397827005)",Stat dist: 05.21,655.0
boligzonen.dk,2023,apartment,11576,86,8200,Katrinebjergvej,Aarhus N,3,"LINESTRING (574464.7318454898 6225864.523281527, 574341.5389317068 6225897.116647242, 574337.7046141091 6225898.196427455, 574274.7640845974 6225917.232552707, 574110.4161619329 6225963.573120219, 573960.7623338038 6226005.354615715, 573876.8691139357 6226028.799843508, 573796.2742317863 6226051.845152701, 573613.2742093239 6226102.4648492085, 573528.7460594452 6226126.83988774, 573441.4720434158 6226151.584850974, 573384.5344885516 6226167.471617269, 573374.2601665587 6226169.05129573, 573364.7856914625 6226168.501407658, 573335.5459275887 6226160.623011283)",Stat dist: 05.80,118.0
boligzonen.dk,2023,apartment,15600,142,8000,Guldsmedgade,Aarhus C,8,"LINESTRING (574971.0101935787 6224321.347390517, 574970.4412303222 6224330.945436861, 574971.4719608593 6224336.304346072, 574995.0220921688 6224382.145015336, 574999.3594062685 6224391.253161399, 575007.1269915954 6224411.679003778, 575008.7101937002 6224419.20747138, 575009.262665268 6224436.893871364, 575011.4313223179 6224489.603142545, 575014.5070222403 6224580.274686614)",Stat dist: 00.30,223.0
boligzonen.dk,2023,apartment,6265,40,8000,Tøndergade,Aarhus C,1,"LINESTRING (573445.4712778993 6222381.352270912, 573426.802686413 6222360.876438709, 573415.7367633678 6222348.728911303, 573387.1319295048 6222318.54505514, 573363.6395191053 6222292.250407339, 573339.8585041555 6222267.895364737, 573331.9012644099 6222263.676223531, 573326.8135784792 6222260.3369032405, 573324.8840509139 6222256.957591089, 573324.05122064 6222252.888419358, 573325.0159844226 6222248.139386009, 573331.4147595963 6222232.802507787)",Stat dist: 02.00,150.0
boligzonen.dk,2023,apartment,6500,44,8240,Børglumvej,Risskov,2,"LINESTRING (574973.9374683037 6227450.160529651, 574983.5603685973 6227461.488223931, 575026.084187632 6227467.556988652, 575043.128347792 6227473.125855125, 575054.1447957715 6227479.784499777, 575129.1489954883 6227525.535187357, 575217.6763798507 6227580.803937563, 575228.7258112074 6227586.252828456, 575232.8487333554 6227594.381173955, 575246.6028016412 6227635.6927651, 575206.4125565423 6227648.770103246, 575201.9185714009 6227669.7058418365, 575154.3235581241 6227690.271655725, 575147.438278137 6227691.341437974, 575134.7149403881 6227687.812156349)",Stat dist: 04.81,616.0
boligzonen.dk,2023,apartment,10600,95,8000,Thit Jensens Gade,Aarhus C,3,"LINESTRING (576118.69978608 6225173.1340118125, 576154.8083382525 6225142.640218737, 576198.1484958725 6225108.537160316, 576226.0441871261 6225085.75179821)",Stat dist: 00.11,5.0
boligzonen.dk,2023,apartment,9300,80,8000,Studsgade,Aarhus C,2,"LINESTRING (575117.9099097128 6224423.076683813, 575122.1895029024 6224432.874689457, 575136.4960427561 6224457.089760549, 575144.5769701662 6224469.397255395, 575154.818308782 6224483.924298457, 575165.3152685708 6224494.782088385, 575198.9500674544 6224523.466249807, 575229.1463492665 6224549.211009536, 575242.1088164999 6224560.498711957, 575253.5540483828 6224575.105738739, 575262.0307763192 6224597.071267718, 575267.0772330284 6224605.619527745, 575297.6198403009 6224642.741971578)",Stat dist: 00.20,147.0
boligzonen.dk,2023,apartment,10920,104,8000,Fuglekærvej,Aarhus C,5,"LINESTRING (567988.8662734312 6219799.027895571, 567885.9581366165 6219729.342079917, 567819.0760935312 6219685.291046377, 567797.1586393923 6219670.344088787, 567736.7413382352 6219629.4724081, 567709.9588359616 6219611.02616278, 567670.7003712681 6219583.381789712, 567655.8083764694 6219571.964113747, 567608.7905722933 6219531.502349623, 567569.8042204616 6219498.779010363, 567559.8185030192 6219489.010998614, 567553.8072825273 6219480.862657185, 567549.9482273968 6219473.374181443, 567546.4354977267 6219463.726145272, 567543.4999771572 6219456.25766546, 567541.5951871249 6219450.888758286, 567538.5194872024 6219442.880388366, 567533.4895221818 6219432.2825455265, 567524.8891065811 6219414.516161823, 567516.8576542367 6219399.529212372, 567509.4116568374 6219386.411882367, 567500.431932399 6219372.344745692, 567478.093940201 6219335.962151264, 567450.3301824562 6219289.09169161, 567433.9127064628 6219261.587290052, 567427.6046355763 6219253.868861116, 567415.7718490114 6219246.180426074, 567403.5267702318 6219240.991482269, 567393.3843817477 6219238.941899456, 567380.718764909 6219239.611763107, 567354.3650465388 6219245.880487126, 567341.6746921671 6219247.780100466, 567330.8808819837 6219247.570143201, 567315.823970299 6219244.490769999, 567297.8810131109 6219238.352019524, 567255.687027848 6219218.985961429, 567230.8835282054 6219209.527886593, 567198.3619183018 6219199.929840247, 567134.110299547 6219178.914117937, 567099.7168829881 6219170.195892506, 567062.528125213 6219162.967363853, 567003.0178669284 6219153.489293086, 566912.2393670732 6219140.8618633635, 566867.1840738396 6219134.753106783, 566771.5570175382 6219117.71657452, 566729.4702282512 6219110.827976674)",Stat dist: 06.61,22.0
boligzonen.dk,2023,apartment,7095,63,8200,Kalmargade,Aarhus N,2,"LINESTRING (574393.3145880417 6226598.803820847, 574390.7253929328 6226609.751592459, 574388.1197061352 6226616.460226936, 574339.230095304 6226740.325014616, 574315.8036516588 6226800.092849047, 574249.8121597576 6226965.719136295, 574213.2335944603 6226951.222087127)",Stat dist: 05.80,354.0
boligzonen.dk,2023,apartment,9904,72,8000,Dirch Passers Gade,Aarhus C,3,"LINESTRING (573717.7325648663 6223706.192603494, 573714.4424729922 6223693.025283664, 573710.814301502 6223681.237682996, 573708.3487940574 6223676.018745296, 573703.7393670959 6223667.660446603, 573699.2701194874 6223661.711657462, 573692.4343145661 6223654.683088107, 573674.2852112704 6223637.606563984, 573629.6834394732 6223596.414948419, 573625.3378795291 6223593.055632197, 573617.9083738184 6223587.9066802515)",Stat dist: 01.60,1.0
boligzonen.dk,2023,apartment,5845,35,8200,Tulipanlunden,Aarhus N,2,"LINESTRING (570225.1227548313 6227660.317752755, 570265.6840629237 6227650.399771532, 570286.999570429 6227641.701542031, 570283.5775450461 6227632.533408178)",Stat dist: 06.10,1.0
boligzonen.dk,2023,apartment,7000,62,8200,Ivar Huitfeldts Gade,Aarhus N,2,"LINESTRING (575424.7542676574 6225689.938817689, 575424.3996963527 6225700.636640178, 575410.1921066305 6225813.84359723, 575402.0946875318 6225880.739980664, 575385.2649193236 6226012.213219667, 575377.8436594572 6226079.599503384, 575348.620387272 6226118.321621608)",Stat dist: 01.00,583.0
boligzonen.dk,2023,apartment,8650,58,8000,Åhusene,Aarhus C,3,"LINESTRING (573853.5581121108 6223730.607633885, 573839.1278845927 6223730.607633885, 573834.4607367212 6223726.14854152, 573820.8798311657 6223724.028972953, 573811.9660734816 6223722.329318913, 573803.0523157975 6223724.028972953, 573795.6228100868 6223730.397676622, 573782.0419045312 6223734.426856494, 573774.8267907721 6223733.796984702, 573762.5157452382 6223737.396252082, 573749.1492316342 6223743.984910979, 573741.0847959127 6223745.254652527, 573732.8059682396 6223744.404825507, 573726.0113925396 6223746.104479548, 573715.3989909305 6223750.983486439, 573709.6681291448 6223756.712320352)",Stat dist: 01.60,443.0
boligzonen.dk,2023,apartment,7600,73,8260,Onsholtvej,Viby J,3,"LINESTRING (570294.0909965235 6220472.320848738, 570270.2852440409 6220447.7558488725, 570262.6248546898 6220439.387552215, 570253.6863594729 6220431.129233171, 570236.4030698284 6220417.052098531, 570225.0238046999 6220408.743789664, 570206.4046882794 6220396.776225627, 570201.3664774145 6220394.226744566, 570167.5090407348 6220373.52095917, 570132.4971858539 6220352.885159527, 570107.6607028341 6220338.0181856565, 570094.5745479363 6220330.669681423, 570076.8047534784 6220320.311789742, 570060.1976230661 6220310.493788168, 570055.3325749314 6220306.224657137, 570050.1871680907 6220301.015717401, 570047.0784847911 6220296.536629107, 570043.9450639585 6220290.897776879, 570041.7434235315 6220284.978981633, 570039.7396833675 6220277.0505954325, 570039.0387866024 6220270.211987412, 570039.3356369971 6220262.953464863, 570040.7044471502 6220256.354808001, 570048.3483448126 6220232.619639225, 570050.1459388692 6220225.281132957, 570052.2486291646 6220215.05321482, 570052.9330342413 6220205.2152173165)",Stat dist: 02.40,266.0
