street,district,rent_per_square_meter,rent_without_expenses,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_rent_1,most_similar_rent_2,most_similar_rent_3,most_similar_rent_4,most_similar_rent_5,most_similar_district_1,most_similar_district_2,most_similar_district_3,most_similar_district_4,most_similar_district_5,count,geometry_street
Grete Løchtes Gade,De Bynære Havnearealer/Aarhus Ø,149.0,9996.42857142857,Åparken,Bülowsgade,Peter Sabroes Gade,Thorvaldsensgade,L.P. Bechs Vej,149.3,149.5,148.5,148.2,150.0,Ceresbyen/Godsbanen,Frederiksbjerg Øst,Universitetet/Kommunehospitalet,Ceresbyen/Godsbanen,Vejlby-Risskov,7,"LINESTRING (576086.442043194 6225140.880576907, 576019.7579003718 6225206.837151636)"
Grøfthøjparken,Viby,95.4,6998.666666666667,Grenåvej,Højgårdsvej,Viborgvej,Eghøjvej,Terp Skovvej,95.6,95.7,95.8,95.0,95.0,Skødstrup-Løgten,Viby,Hasle,Skæring-Egå,Viby,12,"MULTILINESTRING ((571079.94469547 6220261.383784367, 571073.8180331581 6220270.112007762, 571072.4162396278 6220274.001216125, 571072.1688642988 6220277.020601538, 571073.2408240574 6220280.069980846, 571075.656856436 6220282.5994659765, 571097.7804566823 6220295.676804122, 571101.8951329861 6220298.4262444815, 571106.0015634455 6220302.06550372, 571108.9618215478 6220305.68476703, 571111.8973421172 6220310.553775957, 571114.4453080046 6220315.942679062, 571115.847101535 6220321.8414783785, 571116.6634401203 6220328.610100645, 571116.1851811511 6220333.409123817, 571115.3111216557 6220339.087967905, 571113.2908898032 6220345.446673609, 571109.5637681814 6220351.425456645, 571094.6470358499 6220369.541769122, 571083.7790130677 6220381.779278212, 571064.8135711867 6220400.255517427, 571046.0872587904 6220416.962116847, 571033.9411301423 6220426.680138772, 571017.8205045436 6220438.927645828, 571003.0192140321 6220448.595677927, 570980.9863180731 6220461.663018108), (570980.9863180731 6220461.663018108, 570950.8312654825 6220479.369414022, 570936.838067712 6220486.737914185, 570873.3533124768 6220517.3116909815), (570980.9863180731 6220461.663018108, 570834.89469468 6220463.012743375), (570431.1699121011 6220378.6699111145, 570447.5379130287 6220375.0806417, 570463.2957214785 6220374.680723103), (570463.2957214785 6220374.680723103, 570555.69865266 6220373.330997835), (570463.2957214785 6220374.680723103, 570465.5550828156 6220384.698683975, 570468.8121913126 6220392.947005054, 570472.7701965746 6220403.694817368, 570476.9508396328 6220412.852953255, 570481.5025456842 6220422.201050477, 570487.8930750136 6220434.428561603, 570496.3285737284 6220449.185557859, 570501.1029175759 6220457.283909463, 570505.8277863575 6220465.252287523), (570505.8277863575 6220465.252287523, 570514.337497671 6220477.039888191, 570518.9469246325 6220483.708530808, 570528.2152536213 6220494.566320736, 570542.1259929488 6220510.153148082, 570554.7833639432 6220522.320671418, 570566.6491338852 6220533.308434891, 570584.5508618519 6220532.528593625, 570720.9041431313 6220531.68876457), (570505.8277863575 6220465.252287523, 570531.5960497827 6220465.092320084, 570733.2646637312 6220462.722802392))"
Grøndalsvej,Viby,105.8,6447.5,Orla Lehmanns Alle,Engdalsvej,Kongsgårdsvej,J.P. Larsens Vej,Kystvejen,105.7,106.0,106.0,105.4,105.2,Rådhuskvarteret,Brabrand-Gellerup,Viby,Brabrand-Gellerup,Østbanetorvet/Nørre Stenbro,4,"MULTILINESTRING ((571020.6158457599 6220212.933646252, 571007.2081029345 6220228.270524475), (571007.2081029345 6220228.270524475, 571014.406725005 6220233.799399089, 571022.6690609896 6220238.868367315, 571060.195898381 6220269.752081024), (571007.2081029345 6220228.270524475, 571002.40077571 6220233.319496771, 570999.7621055353 6220234.48925867, 570955.3499881567 6220234.8291894775), (570564.1588889078 6220200.206236879, 570552.5404942946 6220175.65123498, 570551.7324015537 6220173.141745779, 570551.4685345362 6220170.572268788, 570551.4437970032 6220168.082775517, 570552.1941688342 6220165.533294457, 570554.0165004237 6220160.334352686, 570560.4152755974 6220145.227427658, 570571.2832983795 6220121.402277198, 570585.2517586171 6220090.028663206, 570595.7322267174 6220065.903573798, 570604.3821173839 6220067.323284821, 570613.658692217 6220068.17311184, 570629.0289459848 6220069.282885949, 570631.5604201837 6220068.982947001, 570634.1496152927 6220068.223101665, 570636.2028305223 6220067.38327261, 570637.9344578246 6220066.4734578, 570641.1008620342 6220064.403879057, 570644.0281367593 6220062.564253507, 570647.2110326577 6220059.9147927975, 570649.4374106175 6220057.905201844, 570658.0543179068 6220048.987017115, 570660.981592632 6220045.737678508, 570665.9373450539 6220040.1188222105, 570668.6667195159 6220036.509556865, 570670.7611639671 6220033.4001897685, 570672.6989373767 6220030.290822671, 570674.9747904023 6220025.791738447, 570676.5332549744 6220021.932523979, 570679.6254465854 6220012.104524439, 570683.5916976918 6219997.457505798, 570684.8450660248 6219993.128386977, 570688.4072707606 6219982.720505471, 570689.8997685782 6219978.65133374, 570692.2663258913 6219969.75314494), (571609.3938660307 6220376.3303873185, 571570.8445439468 6220409.243687911, 571505.7848324509 6220456.604047847, 571494.2653879693 6220453.33471331, 571479.9753398043 6220447.18596487, 571301.1147311786 6220366.972292132, 571175.0687552693 6220310.0438797455, 571133.0149493593 6220291.807591689, 571108.7969046619 6220279.220153825, 571087.0526132532 6220266.152813645, 571079.94469547 6220261.383784367, 571071.5421801324 6220255.934893473, 571055.2896210249 6220243.517421014, 571042.7806752278 6220233.299500842, 571020.6158457599 6220212.933646252), (571020.6158457599 6220212.933646252, 571011.9577092491 6220203.935477803, 571005.270329525 6220196.856918624, 570999.5229760506 6220189.988316708, 570999.5229760506 6220190.158282111, 570992.4810250218 6220182.009940683, 570984.7051938507 6220172.07196353, 570967.3394457632 6220148.956668581), (570967.3394457632 6220148.956668581, 570906.5263440798 6220070.78258069), (570906.5263440798 6220070.78258069, 570894.3802154317 6220055.10577166, 570888.4679450714 6220047.15738953, 570881.9619739219 6220040.448755053, 570874.697385097 6220033.720124646, 570866.0804778077 6220028.201247998, 570856.8781155733 6220023.572190229, 570846.900643975 6220019.81295541, 570838.4074243502 6220017.863352247, 570829.5184041989 6220016.443641225, 570822.6908451219 6220016.483633084, 570813.950250168 6220016.843559822, 570806.7186447204 6220018.123299335, 570799.4787934284 6220019.583002217, 570792.4615799325 6220022.102489382, 570785.7577085198 6220025.351827989, 570779.6228003636 6220028.781129965, 570772.4901450474 6220034.509963877, 570763.230061903 6220042.3383704275, 570755.8747687909 6220049.656880766), (570755.8747687909 6220049.656880766, 570683.2206346984 6220118.092950801, 570641.9089547752 6220157.224985589, 570636.2935348096 6220162.623886659, 570630.3235435393 6220167.312932217, 570622.8115793855 6220172.851804796, 570615.1182066574 6220178.400675339, 570605.9900570216 6220184.579417674, 570597.7359668813 6220189.3884388115, 570581.2525241335 6220197.776731399, 570573.2128259449 6220201.356002849, 570573.023171526 6220201.356002849, 570565.7585827012 6220204.235416751, 570557.1499212561 6220207.6147289025), (570557.1499212561 6220207.6147289025, 570546.6529614673 6220210.964047158, 570530.0623227436 6220215.443135453, 570515.9701748417 6220217.82265111, 570504.7475807547 6220219.382333641, 570494.1104416128 6220220.41212403, 570482.7724057058 6220221.071989716, 570472.9103759277 6220221.051993786, 570458.5708526969 6220221.481906279), (570967.3394457632 6220148.956668581, 570960.9654081223 6220153.56573042, 570956.5373897353 6220156.865058851, 570952.1423547255 6220158.374751558, 570941.5134614279 6220158.694686436, 570767.798259643 6220161.814051498), (570767.798259643 6220161.814051498, 570729.8508841926 6220161.9440250425), (570906.5263440798 6220070.78258069, 570900.5316152766 6220076.811353551, 570897.2580150911 6220079.240859033, 570894.5781156948 6220080.430616861, 570891.5353991495 6220080.900521213, 570766.6850706631 6220082.500195604), (570755.8747687909 6220049.656880766, 570762.6610986466 6220056.8054257, 570765.4152106415 6220061.134544521, 570766.4954162443 6220064.0039604595, 570766.8170041718 6220067.033343837, 570766.6850706631 6220082.500195604), (570766.6850706631 6220082.500195604, 570767.798259643 6220161.814051498), (570557.1499212561 6220207.6147289025, 570558.0899475059 6220231.019964835), (570558.0899475059 6220231.019964835, 570558.428027122 6220271.231779836), (570558.428027122 6220271.231779836, 570558.9722528455 6220291.347685302), (570558.9722528455 6220291.347685302, 570559.3433158388 6220310.9237006605, 570660.4703502856 6220309.923904166, 570660.5115795071 6220336.078580457, 570776.9429009673 6220334.268948803), (570558.0899475059 6220231.019964835, 570650.8639416808 6220230.02016834), (570558.428027122 6220271.231779836, 570658.8459189594 6220269.592113585), (570658.8459189594 6220269.592113585, 570659.1180318211 6220256.074864982, 570728.5727783267 6220254.9750888385), (570658.8459189594 6220269.592113585, 570658.7057396063 6220295.566826507, 570776.7862299257 6220294.607021873), (570558.9722528455 6220291.347685302, 570435.5814387995 6220292.597430919))"
Grønnegade,Vestervang/Klostervang/Ø-gaderne,119.6,9097.0,Kirkedammen,Kantorparken,Honningvænget,Søvej,Jelshøjvej,119.5,119.3,119.9,120.0,120.0,Viby,Vejlby-Risskov,Tilst,Brabrand-Gellerup,Mårslet,5,"MULTILINESTRING ((574761.1781937771 6224085.455405648, 574753.8641298865 6224108.570700596, 574740.9099084974 6224150.422181848, 574730.5283905286 6224187.1547050495, 574725.160345892 6224210.230008138, 574723.1648515722 6224219.478125711, 574719.0666669571 6224248.762165029, 574716.5929136684 6224271.617512889, 574712.7585960707 6224282.225353694, 574707.9595146903 6224325.536537827, 574704.6281935947 6224354.380666688, 574699.9115706574 6224366.008299917, 574655.3180447044 6224430.445183976, 574635.0662511133 6224460.019164278, 574586.984733023 6224527.245480555, 574554.6197941611 6224571.8963919915, 574506.1672130774 6224636.763188543, 574471.3862418367 6224684.223528128), (574471.3862418367 6224684.223528128, 574466.5624229235 6224686.733017328, 574463.288822738 6224690.662217551, 574444.6779521618 6224716.057048507, 574368.03282943 6224823.115257118))"
Grønvej,Sabro,104.0,5720.0,Sønderholmvej,Rosenvangs Alle,Ringen,Nordre Strandvej,Høiriisgårdsvej,104.0,104.0,103.8,103.7,104.4,Hasselager-Kolt,Viby,Lystrup-Elsted,Vejlby-Risskov,Brabrand-Gellerup,1,"MULTILINESTRING ((565802.604345998 6229483.0467415415, 565808.6238123341 6229495.294248597, 565819.6155227808 6229519.279366495, 565836.2803741031 6229555.481997554, 565849.0037118519 6229584.985992101, 565862.6753216947 6229617.0194717795, 565876.2727189389 6229648.952971808, 565891.5934976409 6229685.985433958, 565899.4600330994 6229704.84159584, 565904.4570147428 6229716.139296225), (566336.5639933887 6229645.243726814, 566316.1060536902 6229647.043360503, 566193.3006945892 6229661.80035676, 566133.2379647368 6229668.968897624, 566098.7868272678 6229674.287814974, 566001.2714726228 6229693.503903595, 565948.778427834 6229703.981770854, 565923.067885319 6229710.730397192, 565904.4570147428 6229716.139296225), (565904.4570147428 6229716.139296225, 565901.6286901493 6229716.909139526, 565892.9375702612 6229719.448622622, 565784.4387510138 6229753.751640342, 565707.067993984 6229776.846939361, 565642.3793454814 6229796.083023911, 565604.3660032767 6229807.640671385, 565586.6786672616 6229812.319718978, 565569.2716899527 6229816.098949728, 565555.8639471272 6229818.518457243, 565524.4720178923 6229823.417460065, 565451.5457709379 6229834.595184872, 565377.5310725366 6229844.933080623, 565291.4279663973 6229857.8304554, 565104.9564434864 6229884.994926151, 565051.3749472507 6229892.763344911, 565004.0273093027 6229899.272020089, 564862.6440630027 6229921.867420861, 564813.7132229499 6229928.446081794, 564805.9951126889 6229928.686032952, 564800.0993340171 6229928.2161286, 564791.6720811466 6229927.296315825))"
Gudrunsvej,Brabrand-Gellerup,111.2,7113.789473684211,Christiansgade,Skejbyvej,Kildeagervej,Kræsten Iversens Vej,Hørhavevej,111.2,111.1,111.0,111.0,111.0,TelefonTorvet,Vejlby-Risskov,Hasselager-Kolt,Holme-Højbjerg-Skåde,Holme-Højbjerg-Skåde,19,"MULTILINESTRING ((570846.6944978676 6224475.226068956, 570830.2687760299 6224471.9767303495, 570809.9427698401 6224583.993929572), (570867.0617332789 6224247.932333939, 570863.1696947712 6224257.46039453, 570859.0962476889 6224262.519364791, 570854.0415451354 6224265.628731888, 570846.4636142274 6224265.628731888, 570832.6600708758 6224263.289208092, 570827.0281592215 6224265.628731888, 570825.6675949127 6224270.677704184, 570817.0012125575 6224317.518169943), (570812.9277654754 6224224.397124463, 570838.6300621461 6224080.66638044, 570854.4290998173 6224082.34603855), (570728.581024171 6224039.434773014, 570633.1601139772 6224022.47822447, 570612.4960281713 6224146.732932785), (570825.7665450443 6224610.788475621, 570817.2733254193 6224660.978259635), (570817.2733254193 6224660.978259635, 570807.6916543473 6224715.887083103), (570869.1479318858 6224346.022367996, 570833.3032467308 6224339.903613451, 570813.5709413304 6224451.210957163), (570734.7901449259 6224001.702453319, 570728.581024171 6224039.434773014), (570728.581024171 6224039.434773014, 570707.6695630362 6224166.608887091), (570356.5450212219 6223934.526126866, 570367.3470772497 6223897.033758329, 570377.8110536614 6223865.780119916, 570425.2329042079 6223725.798612747, 570426.5027642295 6223722.1093636835, 570428.9187966082 6223718.0801838115, 570432.002742375 6223716.2105643675, 570435.3588010034 6223715.530702751, 570439.38277302 6223715.400729206, 570444.4787047949 6223715.940619314, 570569.3702625029 6223734.446852423, 570574.2023272604 6223735.6566061815, 570577.4182065359 6223737.806168645, 570578.8942126648 6223740.485623249, 570579.7023054059 6223744.914721719, 570579.5703718971 6223749.743738786, 570578.6303456473 6223770.799452957, 570573.7982808899 6223805.682352643, 570599.1542521003 6223810.381396167), (570817.2733254193 6224660.978259635, 570864.0932293324 6224669.636497276), (570356.5450212219 6223934.526126866, 570349.865887342 6223954.811997736), (570349.865887342 6223954.811997736, 570343.5495706112 6223972.108477087), (570343.5495706112 6223972.108477087, 570339.476123529 6223984.925868144, 570337.4229082993 6223991.804468025), (570337.4229082993 6223991.804468025, 570333.5556073245 6224006.0515680695, 570334.2152748682 6224008.930981973), (570334.2152748682 6224008.930981973, 570386.5516486152 6224018.339066984, 570391.3342383069 6224017.949146352, 570394.0471210802 6224013.710009215, 570395.9931403341 6223999.902819629), (570337.4229082993 6223991.804468025, 570395.9931403341 6223999.902819629), (570395.9931403341 6223999.902819629, 570396.9991333382 6223996.983413866, 570398.664793886 6223991.604508726, 570400.0171123506 6223983.296199858), (570343.5495706112 6223972.108477087, 570400.0171123506 6223983.296199858), (570400.0171123506 6223983.296199858, 570402.4084071965 6223973.718149443, 570403.6947589066 6223964.679989134, 570349.865887342 6223954.811997736), (570848.821925696 6224774.005253318, 570854.7341960563 6224722.695697229, 570864.0932293324 6224669.636497276), (570864.0932293324 6224669.636497276, 570869.1479318858 6224640.64239894, 570871.827831282 6224622.746041693, 570872.2566151854 6224614.197781666, 570870.8135924336 6224608.548931473, 570867.0452415902 6224604.499755671, 570859.3023937963 6224601.2404191, 570828.3722318418 6224595.691548556, 570846.6944978676 6224475.226068956), (570846.6944978676 6224475.226068956, 570866.5422450883 6224360.20948025, 570869.1479318858 6224346.022367996), (570869.1479318858 6224346.022367996, 570888.4432075386 6224252.9913042), (570888.4432075386 6224252.9913042, 570867.0617332789 6224247.932333939), (570867.0617332789 6224247.932333939, 570835.9666544385 6224243.073322976, 570828.7762782123 6224239.963955879), (570828.7762782123 6224239.963955879, 570840.0401015207 6224167.078791443, 570854.4290998173 6224082.34603855), (570854.4290998173 6224082.34603855, 570861.0340210985 6224040.364583754, 570860.2589117347 6224030.0566818975, 570855.674222306 6224024.267860196, 570851.1225162547 6224020.928539905, 570841.4006658295 6224018.97893674, 570808.6976473514 6224014.029944094, 570768.0291432834 6224008.191132567, 570734.7901449259 6224001.702453319), (570734.7901449259 6224001.702453319, 570668.0482811937 6223991.964435464, 570590.3559362363 6223975.407805518, 570538.7781801645 6223965.919736788, 570356.5450212219 6223934.526126866), (570356.5450212219 6223934.526126866, 570280.3286823934 6223920.918896578), (570888.4432075386 6224252.9913042, 570928.674681859 6224260.549765697, 570943.4512348375 6224263.0192630375, 570971.1160424508 6224268.80808474, 570987.4840433784 6224271.847466082, 571003.6211606658 6224272.4173500845), (570828.7762782123 6224239.963955879, 570788.2809368744 6224232.605453681))"
Guldsmedgade,Nørregade,130.2,11948.631578947368,Bissensgade,Eckersbergsgade,Hjortensgade,Arresøvej,Mejlgade,130.0,130.0,130.0,130.4,129.7,Ceresbyen/Godsbanen,Rådhuskvarteret,Botanisk Have/Amtssygehuset,Vejlby-Risskov,Latinerkvarteret,19,"LINESTRING (574971.0101935787 6224321.347390517, 574970.4412303222 6224330.945436861, 574971.4719608593 6224336.304346072, 574995.0220921688 6224382.145015336, 574999.3594062685 6224391.253161399, 575007.1269915954 6224411.679003778, 575008.7101937002 6224419.20747138, 575009.262665268 6224436.893871364, 575011.4313223179 6224489.603142545, 575014.5070222403 6224580.274686614)"
Gustav Holms Vej,Vejlby-Risskov,112.2,13830.0,Kværnloftet,Stavnsvej,Skolegade,Nagelsvej,Elverdalsvej,112.2,112.3,112.0,112.0,112.0,Vejlby-Risskov,Tilst,Skolegade/Bispetorv/Europaplads,Holme-Højbjerg-Skåde,Holme-Højbjerg-Skåde,5,"MULTILINESTRING ((575598.9147450343 6226996.122947687, 575573.8143949971 6227021.837713521, 575563.9193818419 6227031.345778182, 575556.9021683459 6227037.274571393, 575551.4516652662 6227041.653680039, 575539.5694036356 6227051.441687717), (575539.5694036356 6227051.441687717, 575529.5507028159 6227057.940364931, 575513.1332268225 6227067.66838482, 575479.1438566342 6227087.2144062845), (575479.1438566342 6227087.2144062845, 575474.1221374578 6227090.513734715, 575433.1485371508 6227114.938763072, 575391.2101730611 6227139.263811778, 575348.5956497391 6227164.338707856, 575306.5171062964 6227189.143658879, 575258.8313887323 6227217.11796479, 575155.6346473672 6227277.8356058905, 575102.4324599691 6227309.109240232, 575092.9414931843 6227313.5183427725, 575084.3987984937 6227316.397756676, 575075.0397652177 6227319.407144124, 575066.8433959874 6227322.056604833, 575056.0743233367 6227324.056197822, 575040.2505481326 6227325.055994317, 575027.5272103838 6227325.20596379, 575018.060981132 6227324.406126595, 574961.2965889979 6227312.778493366), (575539.5694036356 6227051.441687717, 575555.1045742894 6227068.068303418, 575555.5910791028 6227098.842039513, 575554.1892855725 6227103.91100774, 575554.4613984342 6227109.649839616, 575553.1008341254 6227115.258697949, 575553.3234719214 6227122.697183867, 575552.0618577441 6227127.096288443, 575552.1278244985 6227146.422354678), (575479.1438566342 6227087.2144062845, 575485.9301864898 6227102.781237701, 575487.356717553 6227116.558433392, 575487.7360263907 6227125.916528579))"
Gøteborg Alle,Skejby-Christiansbjerg,153.8,8754.375,Kløvermarksvej,Østergade,Engelundsvej,Bøgegade,Dagmar Petersens Gade,154.0,154.1,153.5,154.3,153.1,Skejby-Christiansbjerg,TelefonTorvet,Viby,Skejby-Christiansbjerg,De Bynære Havnearealer/Aarhus Ø,40,"MULTILINESTRING ((574168.244267981 6227117.598221746, 574176.292212014 6227111.489465166, 574213.753082651 6227018.938303688), (574168.244267981 6227117.598221746, 574122.4056195393 6227099.0719927065, 574075.272373543 6227078.256229695, 574026.3167959574 6227053.8711931985, 573987.2232481499 6227033.985240927, 573968.9422113455 6227023.047467279, 573923.4416425199 6226997.822601727, 573881.0992320597 6226972.467762631, 573860.9463886002 6227003.421462095))"
H.N. Clausens Gade,Frederiksbjerg Øst,141.2,9397.5,Montanagade,Arnegårdsvej,Vestervang,Skovvejen,Katrinebjergvej,141.0,141.5,140.7,140.5,140.4,Frederiksbjerg Øst,Åby,Vestervang/Klostervang/Ø-gaderne,Nordre Kirkegård,Skejby-Christiansbjerg,4,"LINESTRING (574835.1021878911 6223251.125231142, 574849.8292658039 6223153.9850037545, 574855.1313436863 6223119.691983999)"
Haderslevgade,Viby,125.5,10150.0,Ålborggade,Møllehatten,Baldersgade,Jægergårdsgade,Nørreport,125.4,125.4,125.8,125.9,126.0,Frederiksbjerg Vest,Vejlby-Risskov,Åby,Frederiksbjerg Øst,Nørregade,2,"LINESTRING (573749.7181948907 6222912.684119851, 573735.2302464625 6222900.086684023, 573712.2325867208 6222877.831214059, 573680.568544624 6222847.617364001)"
Hammershusvej,Hasle,98.7,9438.888888888889,Holmevej,Møllegangen,Stenaldervej,Kettinggårdsvej,Lisbjergbakken,98.5,99.0,98.3,98.0,99.5,Holme-Højbjerg-Skåde,Vejlby-Risskov,Tilst,Harlev-Framlev,Lisbjerg,9,"MULTILINESTRING ((573390.0014833198 6225898.166433561, 573361.5780580314 6225946.206655112, 573342.7280579705 6225976.070576398), (573342.7280579705 6225976.070576398, 573296.7739677087 6226049.955537328), (573296.7739677087 6226049.955537328, 573295.4051575555 6226052.095101825, 573249.4510672936 6226125.760107527), (573249.4510672936 6226125.760107527, 573211.8747548365 6226186.157813747, 573205.5749297944 6226195.955819392), (573205.5749297944 6226195.955819392, 573203.6866314505 6226198.835233295, 573181.3733767854 6226240.136826476), (573342.7280579705 6225976.070576398, 573401.4384693585 6226004.5247846255), (573205.5749297944 6226195.955819392, 573264.2853411823 6226224.649978779), (573249.4510672936 6226125.760107527, 573259.6017016221 6226131.748888527, 573308.4170998547 6226154.18432186), (573296.7739677087 6226049.955537328, 573355.2370037676 6226078.679690609))"
Hans Broges Gade,Frederiksbjerg Øst,117.8,12203.333333333334,Søndervangs Alle,Lystrupvej,Skanderborgvej,De Mezas Vej,Emiliehøj,118.0,117.5,118.2,117.2,118.4,Viby,Vejlby-Risskov,Viby,Frederiksbjerg Vest,Holme-Højbjerg-Skåde,6,"MULTILINESTRING ((574827.9530408866 6222923.161987112, 574826.2461511173 6222903.276034839, 574831.3255912035 6222844.23805185, 574832.0429796573 6222824.991969335, 574832.6696638238 6222803.616320286, 574832.6779096682 6222761.0649814885, 574830.2206480679 6222717.063937774, 574822.1891957235 6222636.540328122, 574814.3803811752 6222595.848610803), (574814.3803811752 6222595.848610803, 574813.316667261 6222592.069380054), (574813.316667261 6222592.069380054, 574804.2709760682 6222549.378069747), (574804.2709760682 6222549.378069747, 574803.6690294347 6222546.20871486), (574803.6690294347 6222546.20871486, 574798.218526355 6222521.283788256, 574795.6870521561 6222492.349677711), (574814.3803811752 6222595.848610803, 574793.4111991304 6222599.76781306, 574780.4322402084 6222599.317904638, 574768.3685700032 6222596.298519225, 574761.5739943032 6222593.57907276, 574757.3521220237 6222589.359931555, 574755.5462821228 6222586.490515616, 574755.2411858839 6222581.811468023, 574755.8431325175 6222579.401958471, 574757.5087930653 6222575.632725688, 574773.4974851554 6222554.507025762, 574780.283815011 6222551.187701401, 574787.3752411057 6222549.228100273, 574803.6690294347 6222546.20871486), (574813.316667261 6222592.069380054, 574795.9756567064 6222593.729042235, 574788.5791343729 6222593.729042235, 574781.3392830809 6222592.979194864, 574777.1174108014 6222591.019593735, 574773.4974851554 6222588.910023132, 574771.9884956492 6222586.340546141, 574771.3865490156 6222581.661498548, 574770.9330275793 6222578.192204713, 574771.6833994102 6222575.172819301, 574772.2853460439 6222573.213218171, 574773.79433555 6222570.353800198, 574774.5529532253 6222568.544168543, 574775.7568464925 6222565.224844182, 574777.8677826322 6222562.5053977175, 574780.283815011 6222558.58619546, 574786.773294472 6222553.907147867, 574793.1061028914 6222551.947546737, 574804.2709760682 6222549.378069747))"
Hans Schourups Gade,Holme-Højbjerg-Skåde,137.3,7613.333333333333,Malmøgade,Markvangen,Bronzealdervænget,Tulipanlunden,Børglumvej,137.3,137.4,137.0,137.0,138.0,Skejby-Christiansbjerg,Viby,Tilst,Tilst,Vejlby-Risskov,3,"MULTILINESTRING ((574003.2861528385 6222427.402897441, 574015.0859560262 6222402.437978977), (574015.0859560262 6222402.437978977, 574008.3161178591 6222396.999086048, 574003.3356279043 6222390.410427151, 574001.5215421591 6222382.911953444, 573999.0477888704 6222359.086802984, 573996.7224607789 6222308.347130897), (574015.0859560262 6222402.437978977, 574026.8197924595 6222405.227411197, 574031.5364153968 6222405.127431547, 574035.0903742884 6222404.217616738, 574037.6960610859 6222401.718125502, 574044.5236201631 6222394.579578532, 574057.1727453133 6222381.082325859, 574063.6045038642 6222373.743819591, 574069.475545003 6222365.215555494, 574075.5692239377 6222355.3175702, 574078.2408774897 6222349.478758673, 574083.6501513479 6222334.451817364, 574085.8517917749 6222322.904167855), (574102.3352345227 6222519.114229864, 574026.4322377775 6222445.069301495, 574017.559709315 6222437.4108603485, 574008.8768352713 6222430.772211626, 574003.2861528385 6222427.402897441), (574003.2861528385 6222427.402897441, 573997.728453783 6222425.083369574, 573986.9676269767 6222422.703853917, 573976.9736636898 6222423.083776585))"
Harald Jensens Plads,Viby,114.0,11900.0,Vestre Kongevej,Skejby Vænge,Vestre Ringgade,Carl Bertelsens Gade,Finsensgade,114.0,114.0,113.9,113.8,114.2,Viby,Skejby-Christiansbjerg,Botanisk Have/Amtssygehuset,Viby,Skejby-Christiansbjerg,1,"LINESTRING (573961.1911177072 6222798.767307289, 573975.6048535367 6222784.460219455, 573979.571104643 6222779.491230878, 573982.688033787 6222774.512244337, 573984.5433487536 6222769.393286286, 573986.5718264504 6222757.865632706, 573988.4353872613 6222746.347977092, 573990.7854528857 6222734.930301127, 573991.321432765 6222729.891326795, 573989.4496261098 6222726.831949523, 573945.2024256171 6222682.440985176, 573901.6478760454 6222637.720087985, 573898.3248007941 6222635.590521452, 573894.1276660474 6222635.110619134, 573882.0969792195 6222637.330167352, 573876.5722635412 6222639.38974813, 573855.6195731849 6222644.328742812, 573845.2463010604 6222646.548291029, 573838.7568215994 6222648.427908439, 573835.6976133656 6222650.787428166, 573823.3948136759 6222663.664807012)"
Harald Selmers Vej,Vejlby-Risskov,129.7,11427.777777777777,Mejlgade,Brendstrupgårdsvej,Hjortensgade,Eckersbergsgade,Bissensgade,129.7,129.5,130.0,130.0,130.0,Latinerkvarteret,Skejby-Christiansbjerg,Botanisk Have/Amtssygehuset,Rådhuskvarteret,Ceresbyen/Godsbanen,18,"LINESTRING (576121.4291605421 6227398.740995947, 576124.9748735894 6227392.362294314, 576131.843661888 6227385.88361303, 576145.853351347 6227374.126006258, 576161.7348474612 6227362.988273311, 576181.2362692213 6227351.040705204, 576201.784913207 6227342.552432967, 576225.5824198455 6227334.95397961, 576241.8184872644 6227329.6950500505, 576284.8782861783 6227313.808283756, 576323.9388506088 6227302.400605756, 576450.8753777022 6227261.099012575, 576479.7770619598 6227251.880888898, 576490.7852640951 6227249.751322365, 576502.4696254625 6227247.891700885, 576545.348015802 6227245.992087547, 576651.2493940962 6227239.473414403, 576686.4426575517 6227236.813955729, 576715.6906672699 6227230.645211359)"
Haslevej,Åby,105.0,4200.0,Fuglekærvej,Havnegade,Borresøvej,Kystvejen,J.P. Larsens Vej,105.0,105.0,105.0,105.2,105.4,Hasselager-Kolt,Skolegade/Bispetorv/Europaplads,Vejlby-Risskov,Østbanetorvet/Nørre Stenbro,Brabrand-Gellerup,1,"MULTILINESTRING ((572250.5659809588 6224672.605892864, 572177.7716675132 6224639.8725556405), (572411.4753865518 6223963.690190605, 572389.5744241015 6224060.180550272, 572375.7214056841 6224120.538264633, 572360.4336103593 6224190.384047726, 572335.9516986443 6224303.850951865, 572313.1849225429 6224399.601462127, 572301.4181027325 6224450.481105722), (572301.4181027325 6224450.481105722, 572295.9346162756 6224473.816355899, 572291.1850099611 6224493.2923916085), (572291.1850099611 6224493.2923916085, 572281.5703555119 6224535.423815879, 572258.2016327769 6224635.073532468, 572251.60495734 6224666.747085407, 572250.5659809588 6224672.605892864), (572301.4181027325 6224450.481105722, 572309.3588507896 6224452.62067022, 572368.110491399 6224476.765755557), (572291.1850099611 6224493.2923916085, 572347.4876348145 6224509.099174184))"
