website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
Site A,2014,room,4500,16,8000,Lundbyesgade,Aarhus C,1
Site A,2014,room,4500,30,8000,Høegh-Guldbergs Gade,Aarhus C,1
Site A,2014,room,4500,28,8000,Rudolph Wulffs Gade,Aarhus C,1
Site A,2014,apartment,4500,49,8000,Regenburgsgade,Aarhus C,1
Site A,2014,room,4400,19,8000,Odensegade,Aarhus C,1
Site A,2014,room,4200,18,8000,Marstrandsgade,Aarhus C,1
Site A,2014,room,4110,16,8000,Søndre Ringgade,Aarhus C,1
Site A,2014,room,4000,15,8000,Mejlgade,Aarhus C,1
Site A,2014,room,4000,20,8000,Nygade,Aarhus C,1
Site A,2014,room,4000,15,8000,Nørre Alle,Aarhus C,1
Site A,2014,room,4000,17,8000,Frederiks Allé,Aarhus C,1
Site A,2014,room,4000,14,8000,Jægergårdsgade,Aarhus C,1
Site A,2014,apartment,3995,39,8000,Montanagade,Aarhus C,2
Site A,2014,apartment,3965,42,8260,Grøfthøjparken,Viby J,1
Site A,2014,apartment,3950,40,8270,Rundhøj Alle,Højbjerg,1
Site A,2014,room,3900,13,8000,Åboulevarden,Aarhus C,1
Site A,2014,room,3850,16,8000,Bissensgade,Aarhus C,1
Site A,2014,room,3800,19,8000,Ringkøbingvej,Aarhus C,1
Site A,2014,room,3700,14,8200,Aldersrovej,Aarhus N,1
Site A,2014,room,3700,16,8200,Bøgegade,Aarhus N,1
Site A,2014,room,3685,10,8381,Gedingvej,Tilst,1
Site A,2014,apartment,3650,40,8210,Hasle Ringvej,Aarhus V,1
Site A,2014,room,3570,12,8220,Hoffmannsvej,Brabrand,1
Site A,2014,apartment,3544,40,8000,Åparken,Aarhus C,1
Site A,2014,room,3500,12,8000,Høegh-Guldbergs Gade,Aarhus C,1
Site A,2014,room,3500,20,8000,Nørre Alle,Aarhus C,1
Site A,2014,room,3400,10,8000,Skt. Pauls Gade,Aarhus C,1
Site A,2014,apartment,3400,37,8260,Risdalsvej,Viby J,1
Site A,2014,room,3300,16,8000,Cort Adelers Gade,Aarhus C,1
Site A,2014,room,3300,16,8000,Fiskergade,Aarhus C,1
Site A,2014,apartment,3250,41,8000,Silkeborgvej,Aarhus C,1
Site A,2014,apartment,3250,30,8000,Regenburgsgade,Aarhus C,1
Site A,2014,room,3200,13,8000,Rudolph Wulffs Gade,Aarhus C,1
Site A,2014,room,3200,15,8270,Oddervej,Højbjerg,1
Site A,2014,room,3100,15,8000,Grønnegade,Aarhus C,1
Site A,2014,room,3050,12,8000,Langelandsgade,Aarhus C,1
Site A,2014,room,3000,14,8210,Trillegårdsvej,Aarhus V,1
Site A,2014,room,3000,9,8210,Rydevænget,Aarhus V,1
Site A,2014,apartment,2983,23,8220,Gudrunsvej,Brabrand,1
Site A,2014,room,2900,13,8000,Vestre Ringgade,Aarhus C,1
Site A,2014,room,2850,15,8220,Hougårdsvej,Brabrand,1
Site A,2014,room,2700,17,8220,Spobjergvej,Brabrand,1
Site A,2014,room,2700,8,8000,Jægergårdsgade,Aarhus C,1
Site A,2014,room,2435,15,8200,Valnøddevej,Aarhus N,1
Site A,2014,room,2300,15,8000,Rosenkrantzgade,Aarhus C,1
Site A,2014,room,2200,12,8200,Kløvermarksvej,Aarhus N,1
Site A,2014,room,2200,9,8000,Tøndergade,Aarhus C,1
Site A,2014,room,2050,15,8240,Vejlby Toften,Risskov,1
Site A,2014,room,2000,26,8270,Rosenvangs Allé,Højbjerg,1
Site A,2015,apartment,18700,187,8000,Frederiksgade,Aarhus C,4
Site A,2015,apartment,15000,161,8000,Stadion Allé,Aarhus C,5
Site A,2015,apartment,14000,140,8000,Bülowsgade,Aarhus C,4
Site A,2015,apartment,13300,129,8000,Vejlegade,Aarhus C,4
Site A,2015,apartment,10800,110,8000,Søndre Ringgade,Aarhus C,4
Site A,2015,apartment,10600,100,8000,Kirkedammen,Aarhus C,4
Site A,2015,apartment,10300,92,8000,Ingerslevs Boulevard,Aarhus C,3
Site A,2015,apartment,8500,90,8000,Valdemarsgade,Aarhus C,4
Site A,2015,apartment,7125,62,8200,Peder Skrams Gade,Aarhus N,2
Site A,2015,apartment,6900,58,8200,Tåsingegade,Aarhus N,2
Site A,2015,apartment,6700,67,8230,Dr. Holsts Vej,Åbyhøj,2
Site A,2015,apartment,6500,62,8000,Sønder Alle,Aarhus C,1
Site A,2015,apartment,6000,74,8220,Hougårdsvej,Brabrand,3
Site A,2015,apartment,5850,47,8000,Gebauersgade,Aarhus C,1
Site A,2015,apartment,5750,46,8000,Guldsmedgade,Aarhus C,1
Site A,2015,room,4485,10,8000,Finderupvej,Aarhus C,1
Site A,2015,apartment,4320,33,8000,Tinglevgade,Aarhus C,1
Site A,2015,apartment,4000,60,8000,Gerlachsgade,Aarhus C,2
Site A,2015,room,4000,19,8210,Hasle Centervej,Aarhus V,1
Site A,2015,apartment,4000,58,8000,Stadion Allé,Aarhus C,2
Site A,2015,apartment,3950,33,8260,Grøfthøjparken,Viby J,1
Site A,2015,room,3900,9,8000,Finderupvej,Aarhus C,1
Site A,2015,room,3900,13,8000,Finderupvej,Aarhus C,1
Site A,2015,room,3800,17,8230,Silkeborgvej,Åbyhøj,1
Site A,2015,room,3518,26,8000,M. P. Bruuns Gade,Aarhus C,1
Site A,2015,apartment,3500,25,8000,Sjællandsgade,Aarhus C,1
Site A,2015,room,3500,10,8210,Helge Rodes Vej,Aarhus V,1
Site A,2015,room,3500,23,8000,Sønderport,Aarhus C,1
Site A,2015,room,3400,15,8000,Daugbjergvej,Aarhus C,1
Site A,2015,room,3275,16,8000,Hendrik Pontoppidans Gade,Aarhus C,1
Site A,2015,room,3100,21,8000,Hans Hartvig Seedorffs Stræde,Aarhus C,1
Site A,2015,room,3000,9,8000,Norsgade,Aarhus C,1
Site A,2015,room,3000,12,8210,Fjældevænget,Aarhus V,1
Site A,2015,room,3000,14,8000,Chr. Wærums Gade,Aarhus C,1
Site A,2015,room,2677,14,8200,C. F. Jessens Vej,Aarhus N,1
Site A,2015,apartment,7679,79,8000,Bülowsgade,Aarhus C,3
Site A,2015,apartment,3100,25,8230,Arnegårdsvej,Åbyhøj,1
Site A,2015,apartment,8900,78,8260,Søndervangs Alle,Viby J,3
Site A,2015,apartment,8950,63,8000,Frederiksgade,Aarhus C,2
Site A,2015,apartment,10495,89,8000,Banegårdsgade,Aarhus C,4
Site A,2015,apartment,10500,88,8000,Mindegade,Aarhus C,3
Site A,2015,apartment,9565,85,8000,Fredensgade,Aarhus C,2
Site A,2015,apartment,12575,106,8000,Østergade,Aarhus C,2
Site A,2015,apartment,9208,65,8000,Østergade,Aarhus C,2
Site A,2015,apartment,7013,51,8000,Østergade,Aarhus C,1
Site A,2015,apartment,8000,89,8000,Nordborggade,Aarhus C,3
Site A,2015,apartment,7500,75,8230,Søren Frichs Vej,Åbyhøj,3
Site A,2015,apartment,8778,66,8200,Margrethehøjparken,Aarhus N,2
Site A,2015,apartment,8776,81,8000,Søndre Ringgade,Aarhus C,3
Site A,2015,apartment,8525,61,8000,Helga Pedersens gade,Aarhus C,2
Site A,2015,apartment,5300,72,8210,Bispehaven,Aarhus V,2
Site A,2015,apartment,9500,78,8240,Hørgårdsvej,Risskov,3
Site A,2015,apartment,9506,80,8000,Finderupvej,Aarhus C,2
Site A,2015,apartment,6500,62,8000,Teglværksgade,Aarhus C,2
Site A,2015,apartment,7797,81,8000,Bülowsgade,Aarhus C,3
Site A,2015,apartment,4550,34,8260,Dansgade,Viby J,2
Site A,2015,apartment,6668,68,8000,Silkeborgvej,Aarhus C,2
Site A,2015,apartment,5350,58,8000,St. St. Blichers Gade,Aarhus C,2
