web-scraper-order,web-scraper-start-url,price,address,type_rooms_kvm
1684829047-46,https://boligzonen.dk/lejebolig/aarhus,7.750,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 62 m2
1684829047-47,https://boligzonen.dk/lejebolig/aarhus,13.600,"Nørre Allé, Aarhus C",Lejlighed / 5 vær. / 107 m2
1684829047-48,https://boligzonen.dk/lejebolig/aarhus,8.000,"Åboulevarden, Aarhus C",Lejlighed / 2 vær. / 50 m2
1684829047-49,https://boligzonen.dk/lejebolig/aarhus,11.395,"Viby Torv, Viby J",Lejlighed / 4 vær. / 101 m2
1684829047-50,https://boligzonen.dk/lejebolig/aarhus,16.100,"Nyborggade, Aarhus C",Lejlighed / 5 vær. / 130 m2
1684829047-51,https://boligzonen.dk/lejebolig/aarhus,7.500,"Mejlgade, Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829047-52,https://boligzonen.dk/lejebolig/aarhus,12.095,"Ålborggade, Aarhus C",Lejlighed / 3 vær. / 89 m2
1684829047-53,https://boligzonen.dk/lejebolig/aarhus,6.695,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 52 m2
1684829047-54,https://boligzonen.dk/lejebolig/aarhus,8.500,"Vesterport, Aarhus C",Lejlighed / 2 vær. / 70 m2
1684829047-55,https://boligzonen.dk/lejebolig/aarhus,6.400,"Thomas Koppels Gade, Aarhus C",Lejlighed / 1 vær. / 39 m2
1684829047-56,https://boligzonen.dk/lejebolig/aarhus,4.805,"Fredensgade, Aarhus C",Værelse / 1 vær. / 33 m2
1684829047-57,https://boligzonen.dk/lejebolig/aarhus,9.900,"Daugbjergvej, Aarhus C",Lejlighed / 3 vær. / 103 m2
1684829047-58,https://boligzonen.dk/lejebolig/aarhus,9.900,"Vesterport, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829047-59,https://boligzonen.dk/lejebolig/aarhus,8.876,"Lyøgade, Aarhus N",Lejlighed / 3 vær. / 70 m2
1684829047-60,https://boligzonen.dk/lejebolig/aarhus,6.500,"Skejbyparken, Aarhus N",Lejlighed / 2 vær. / 48 m2
1684829051-61,https://boligzonen.dk/lejebolig/aarhus,11.576,"Katrinebjergvej, Aarhus N",Lejlighed / 3 vær. / 86 m2
1684829051-62,https://boligzonen.dk/lejebolig/aarhus,8.900,"Valdemarsgade, Aarhus C",Lejlighed / 3 vær. / 82 m2
