web-scraper-order,web-scraper-start-url,pagination,prices,address,zip_code,rooms_kvm
"1684830206-202","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.650 kr./md.","Åbyvej  2","8230 Åbyhøj","3 rum, 85 m²"
"1684830206-203","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.775 kr./md.","Solbærhaven","8520 Lystrup","4 rum, 94 m²"
"1684830206-204","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.583 kr./md.","Havkærvej","8381 Tilst","2 rum, 54 m²"
"1684830206-205","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Skt. Anna Gade  1","8000 Aarhus C","3 rum, 90 m²"
"1684830206-206","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.000 kr./md.","Falstersgade  1","8000 Aarhus C","2 rum, 52 m²"
"1684830206-207","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.950 kr./md.","Æbeløgade  1","8000 Aarhus C","2 rum, 54 m²"
"1684830206-208","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.495 kr./md.","Niels Juels Gade  3","8200 Aarhus N","2 rum, 65 m²"
"1684830206-209","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.500 kr./md.","Åboulevarden  6","8000 Aarhus C","3 rum, 69 m²"
"1684830206-210","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.750 kr./md.","Engelundsvej","8260 Viby J","3 rum, 57 m²"
"1684830206-211","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Pollenvænget  3","8381 Tilst","2 rum, 39 m²"
"1684830206-212","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","18.800 kr./md.","Silkeborgvej  2","8230 Åbyhøj","5 rum, 187 m²"
"1684830206-213","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.995 kr./md.","Trøjborgvej","8200 Aarhus N","3 rum, 70 m²"
"1684830206-214","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.400 kr./md.","Jens Baggesens Vej  1","8200 Aarhus N","2 rum, 48 m²"
"1684830206-215","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.695 kr./md.","Pollenvænget  1","8381 Tilst","3 rum, 72 m²"
"1684830206-216","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.500 kr./md.","Sonnesgade  1","8000 Aarhus C","4 rum, 86 m²"
"1684830206-217","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.900 kr./md.","Rundhøj Allé  3","8270 Højbjerg","4 rum, 129 m²"
"1684830206-218","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.450 kr./md.","Pollenvænget","8381 Tilst","2 rum, 52 m²"
"1684830206-219","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.000 kr./md.","Tandrupvej  1","8462 Harlev J","3 rum, 80 m²"
"1684830206-220","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.495 kr./md.","Ladefogedvej","8200 Aarhus N","1 rum, 29 m²"
"1684830206-221","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","14.800 kr./md.","Mariane Thomsens Gade  6","8000 Aarhus C","3 rum, 88 m²"
"1684830206-222","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.995 kr./md.","Vestergade  1","8000 Aarhus C","3 rum, 91 m²"
"1684830206-223","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Lokesvej  3","8230 Åbyhøj","2 rum, 62 m²"
"1684830206-224","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.950 kr./md.","Fåborggade  2","8000 Aarhus C","2 rum, 80 m²"
"1684830206-225","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.785 kr./md.","Sønder Allé  1","8000 Aarhus C","3 rum, 72 m²"
"1684830206-226","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.795 kr./md.","Vintervej","8210 Aarhus V","3 rum, 62 m²"
"1684830206-227","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.800 kr./md.","Sonnesgade  4","8000 Aarhus C","4 rum, 86 m²"
"1684830206-228","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Vintervej  1","8210 Aarhus V","1 rum, 41 m²"
"1684830206-229","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.795 kr./md.","Amaliegade  2","8000 Aarhus C","2 rum, 59 m²"
"1684830206-230","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.500 kr./md.","Ålborggade  3","8000 Aarhus C","4 rum, 109 m²"
"1684830206-231","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.900 kr./md.","Thunøgade  1","8000 Aarhus C","2 rum, 60 m²"
"1684830206-232","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.950 kr./md.","Fiskergade  1","8000 Aarhus C","3 rum, 86 m²"
"1684830206-233","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.250 kr./md.","Markvangen  1","8260 Viby J","2 rum, 63 m²"
"1684830206-234","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.995 kr./md.","Engskovvænget","8541 Skødstrup","4 rum, 116 m²"
"1684830206-235","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","3.300 kr./md.","Hoffmannsvej","8220 Brabrand","1 rum, 28 m²"
"1684830206-236","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Lily Brobergs Gade","8220 Brabrand","4 rum, 108 m²"
"1684830206-237","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Ingerslevvej","8361 Hasselager","4 rum, 164 m²"
"1684830206-238","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.100 kr./md.","Kantorparken  3","8240 Risskov","1 rum, 29 m²"
"1684830206-239","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.895 kr./md.","Møllehatten  3","8240 Risskov","2 rum, 64 m²"
"1684830206-240","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.500 kr./md.","Søndre Ringgade  2","8000 Aarhus C","2 rum, 70 m²"
"1684830206-241","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","14.397 kr./md.","Museumsgade  4","8000 Aarhus C","4 rum, 120 m²"
"1684830206-242","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.840 kr./md.","Engtoften","8260 Viby J","3 rum, 76 m²"
"1684830206-243","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.300 kr./md.","Søren Frichs Vej  6","8230 Åbyhøj","2 rum, 51 m²"
"1684830206-244","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.000 kr./md.","Åboulevarden  4","8000 Aarhus C","1 rum, 54 m²"
"1684830206-245","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.800 kr./md.","Åboulevarden  1","8000 Aarhus C","1 rum, 45 m²"
"1684830206-246","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.990 kr./md.","Brendstrupvej  1","8200 Aarhus N","3 rum, 76 m²"
"1684830206-247","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.100 kr./md.","Arresøvej","8240 Risskov","2 rum, 54 m²"
"1684830206-248","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.950 kr./md.","Pollenvænget","8381 Tilst","3 rum, 102 m²"
"1684830206-249","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","15.950 kr./md.","Sonnesgade  3","8000 Aarhus C","4 rum, 114 m²"
"1684830206-250","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.975 kr./md.","Thorvaldsensgade  3","8000 Aarhus C","3 rum, 99 m²"
"1684830206-251","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.895 kr./md.","Ellebrinken  1","8520 Lystrup","2 rum, 60 m²"
"1684830206-252","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.895 kr./md.","Ellebrinken  1","8520 Lystrup","2 rum, 60 m²"
