web-scraper-order,web-scraper-start-url,pagination,prices,address,zip_code,rooms_kvm
"1684830206-89","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.275 kr./md.","Stavnsvej  1","8381 Tilst","3 rum, 65 m²"
"1684830206-90","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.482 kr./md.","Guldsmedgade  2","8000 Aarhus C","2 rum, 60 m²"
"1684830206-91","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.275 kr./md.","Christian X's Vej  2","8260 Viby J","3 rum, 81 m²"
"1684830206-92","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.990 kr./md.","Holmevej  1","8270 Højbjerg","4 rum, 82 m²"
"1684830206-93","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.900 kr./md.","Søndre Ringgade  2","8000 Aarhus C","3 rum, 104 m²"
"1684830206-94","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.995 kr./md.","Kaj Munks Vej","8260 Viby J","2 rum, 60 m²"
"1684830206-95","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.760 kr./md.","Engtoften","8260 Viby J","4 rum, 104 m²"
"1684830206-96","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.800 kr./md.","Christian X's Vej","8260 Viby J","3 rum, 88 m²"
"1684830206-97","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.300 kr./md.","Engtoften  1","8260 Viby J","3 rum, 108 m²"
"1684830206-98","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.950 kr./md.","Nymarks Allé  1","8320 Mårslet","4 rum, 96 m²"
"1684830206-99","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","4.495 kr./md.","Ladefogedvej","8200 Aarhus N","1 rum, 29 m²"
"1684830206-100","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.300 kr./md.","Høegh-Guldbergs Gade  3","8000 Aarhus C","2 rum, 63 m²"
"1684830206-101","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","16.500 kr./md.","Hans Broges Gade  2","8000 Aarhus C","5 rum, 141 m²"
"1684830206-102","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","3.900 kr./md.","Lisbjergbakken","8200 Aarhus N","1 rum, 36 m²"
"1684830206-103","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.450 kr./md.","Jyllands Allé  3","8000 Aarhus C","2 rum, 76 m²"
"1684830206-104","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.575 kr./md.","Ceresbyen  4","8000 Aarhus C","3 rum, 64 m²"
"1684830206-105","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.827 kr./md.","Jens Baggesens Vej","8200 Aarhus N","2 rum, 51 m²"
"1684830206-106","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.750 kr./md.","Markvangen  1","8260 Viby J","2 rum, 48 m²"
"1684830206-107","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.450 kr./md.","Hans Broges Gade  2","8000 Aarhus C","3 rum, 94 m²"
"1684830206-108","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Carl Bertelsens Gade  3","8000 Aarhus C","3 rum, 90 m²"
"1684830206-109","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.227 kr./md.","Jordbrovej  1","8200 Aarhus N","4 rum, 104 m²"
"1684830206-110","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.295 kr./md.","Grøndalsvej  3","8260 Viby J","3 rum, 59 m²"
"1684830206-111","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.000 kr./md.","Espegårdsvej","8260 Viby J","2 rum, 65 m²"
"1684830206-112","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.555 kr./md.","Hvidkløvervej  1","8200 Aarhus N","1 rum, 35 m²"
"1684830206-113","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.800 kr./md.","Kaj Munks Vej  2","8260 Viby J","4 rum, 97 m²"
"1684830206-114","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.495 kr./md.","Vintervej","8210 Aarhus V","3 rum, 72 m²"
"1684830206-115","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.800 kr./md.","Marselis Boulevard  4","8000 Aarhus C","2 rum, 65 m²"
"1684830206-116","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.595 kr./md.","Søndre Ringgade  4","8000 Aarhus C","3 rum, 86 m²"
"1684830206-117","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","15.900 kr./md.","Irma Pedersens Gade  6","8000 Aarhus C","3 rum, 98 m²"
"1684830206-118","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.995 kr./md.","Vester Allé","8000 Aarhus C","2 rum, 49 m²"
"1684830206-119","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.900 kr./md.","Nordborggade","8000 Aarhus C","3 rum, 92 m²"
"1684830206-120","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.800 kr./md.","Sonnesgade  2","8000 Aarhus C","4 rum, 86 m²"
"1684830206-121","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.200 kr./md.","Vestergade  4","8000 Aarhus C","1 rum, 44 m²"
"1684830206-122","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.265 kr./md.","Tøndergade  3","8000 Aarhus C","1 rum, 40 m²"
"1684830206-123","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.636 kr./md.","Tøndergade  2","8000 Aarhus C","4 rum, 150 m²"
"1684830206-124","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.368 kr./md.","Vestergårdsringen","8260 Viby J","3 rum, 85 m²"
"1684830206-125","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.850 kr./md.","Trøjborgvej  1","8200 Aarhus N","2 rum, 65 m²"
"1684830206-126","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.600 kr./md.","Langenæs Allé","8000 Aarhus C","3 rum, 84 m²"
"1684830206-127","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.995 kr./md.","Gudrunsvej","8220 Brabrand","4 rum, 105 m²"
"1684830206-128","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.800 kr./md.","Ryhavevej","8210 Aarhus V","2 rum, 64 m²"
"1684830206-129","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.743 kr./md.","Finderupvej","8000 Aarhus C","3 rum, 74 m²"
"1684830206-130","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.900 kr./md.","Vestre Ringgade","8000 Aarhus C","3 rum, 80 m²"
"1684830206-131","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.190 kr./md.","Viborgvej  3","8210 Aarhus V","3 rum, 89 m²"
"1684830206-132","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.495 kr./md.","Guldsmedgade","8000 Aarhus C","2 rum, 84 m²"
"1684830206-133","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.227 kr./md.","Kaserneboulevarden  2","8000 Aarhus C","2 rum, 52 m²"
"1684830206-134","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.300 kr./md.","Rundhøj Allé  2","8270 Højbjerg","2 rum, 41 m²"
"1684830206-135","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.500 kr./md.","Langelandsgade","8200 Aarhus N","3 rum, 87 m²"
"1684830206-136","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.795 kr./md.","Kastanjehaven","8520 Lystrup","4 rum, 111 m²"
"1684830206-137","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.125 kr./md.","Vintervej","8210 Aarhus V","3 rum, 64 m²"
"1684830206-138","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.300 kr./md.","Sonnesgade  1","8000 Aarhus C","2 rum, 72 m²"
"1684830206-139","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.812 kr./md.","Museumsgade  3","8000 Aarhus C","4 rum, 90 m²"
"1684830206-140","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.000 kr./md.","Grøfthøjparken  1","8260 Viby J","4 rum, 108 m²"
"1684830206-141","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.290 kr./md.","Silkeborgvej  1","8230 Åbyhøj","3 rum, 100 m²"
"1684830206-142","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","11.990 kr./md.","Skanderborgvej  5","8000 Aarhus C","4 rum, 114 m²"
"1684830206-143","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.500 kr./md.","Truevej  2","8220 Brabrand","5 rum, 105 m²"
"1684830206-144","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","12.916 kr./md.","Marselis Boulevard  1","8000 Aarhus C","4 rum, 122 m²"
"1684830206-145","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.900 kr./md.","Møllegade  1","8000 Aarhus C","2 rum, 64 m²"
"1684830206-146","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.600 kr./md.","Nørre Allé  5","8000 Aarhus C","5 rum, 107 m²"
"1684830206-147","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.300 kr./md.","Vester Allé  3","8000 Aarhus C","2 rum, 66 m²"
"1684830206-148","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.984 kr./md.","Jens Baggesens Vej","8200 Aarhus N","2 rum, 57 m²"
"1684830206-149","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","15.250 kr./md.","Sonnesgade  2","8000 Aarhus C","4 rum, 114 m²"
"1684830206-150","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.995 kr./md.","Frodesvej","8230 Åbyhøj","2 rum, 65 m²"
"1684830206-151","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","13.000 kr./md.","Viborgvej","8210 Aarhus V","3 rum, 120 m²"
"1684830206-152","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","7.000 kr./md.","Vestre Ringgade","8000 Aarhus C","2 rum, 50 m²"
"1684830206-153","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.500 kr./md.","Bangsboparken  1","8541 Skødstrup","2 rum, 75 m²"
"1684830206-154","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Vesterbrogade  2","8000 Aarhus C","2 rum, 46 m²"
"1684830206-155","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","16.900 kr./md.","Thit Jensens Gade  6","8000 Aarhus C","4 rum, 142 m²"
"1684830206-156","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.400 kr./md.","Lokesvej   2","8230 Åbyhøj","2 rum, 62 m²"
"1684830206-157","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.600 kr./md.","Otto Brandenburgs Gade","8000 Aarhus C","2 rum, 62 m²"
"1684830206-158","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.670 kr./md.","Abildhaven","8520 Lystrup","3 rum, 85 m²"
"1684830206-159","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.500 kr./md.","Vesterport  2","8000 Aarhus C","1 rum, 83 m²"
"1684830206-160","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.795 kr./md.","Tove Ditlevsens Gade  1","8240 Risskov","4 rum, 93 m²"
"1684830206-161","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","10.380 kr./md.","Rosenkrantzgade  2","8000 Aarhus C","3 rum, 83 m²"
"1684830206-162","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","5.995 kr./md.","Ladefogedvej","8200 Aarhus N","2 rum, 58 m²"
"1684830206-163","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","8.795 kr./md.","Engelundsvej","8260 Viby J","3 rum, 57 m²"
"1684830206-164","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","9.400 kr./md.","Brendstrupvej","8200 Aarhus N","3 rum, 81 m²"
"1684830206-165","https://www.edc.dk/lejebolig/lejlighed/aarhus/?side=1","","6.750 kr./md.","Engtoften  1","8260 Viby J","2 rum, 52 m²"
