web-scraper-order,price,address,kvm,rooms
1684834100-70,"7.995,- pr. mdr.","Daubjergvej, Århus C",57 m²,2 vær.
1684834100-71,"11.645,- pr. mdr.","Ellen Jensens Gade, Risskov",102 m²,3 vær.
1684834100-72,"10.380,- pr. mdr.","Rosenkrantzgade, Århus C",83 m²,3 vær.
1684834100-73,"8.850,- pr. mdr.","Dagmar Hansens Gade, Risskov",77 m²,3 vær.
1684834100-74,"10.800,- pr. mdr.","Vindrosen, Risskov",85 m²,1 vær.
1684834100-75,"11.500,- pr. mdr.","Åboulevarden, Århus C",69 m²,3 vær.
1684834100-76,"11.237,- pr. mdr.","Engtoften, Viby J",108 m²,3 vær.
1684834100-77,"10.280,- pr. mdr.","Broloftet, Risskov",91 m²,3 vær.
1684834100-78,"7.804,- pr. mdr.","Doris Kæraas Gade, Risskov",61 m²,3 vær.
1684834100-79,"16.215,- pr. mdr.","Orla Lehmanns Allé, Århus C",162 m²,6 vær.
1684834100-80,"7.777,- pr. mdr.","Eya Jensens Gade, Risskov",64 m²,2 vær.
1684834100-81,"11.834,- pr. mdr.","Engtoften, Viby J",105 m²,4 vær.
1684834100-82,"11.929,- pr. mdr.","Skolegade, Århus C",92 m²,4 vær.
1684834100-83,"3.000,- pr. mdr.","Christian x’s vej, Højbjerg",30 m²,1 vær.
1684834100-84,"9.615,- pr. mdr.","Orla Lehmanns Allé, Århus C",85 m²,3 vær.
1684834100-85,"9.900,- pr. mdr.","Vesterport, Århus C",72 m²,3 vær.
1684834100-86,"8.300,- pr. mdr.","Vester Allé, Århus C",66 m²,2 vær.
1684834100-87,"5.150,- pr. mdr.","Olof Palmes Allé, Århus N",30 m²,1 vær.
1684834100-88,"4.900,- pr. mdr.","Christian X's Vej, Viby J",29 m²,1 vær.
1684834100-89,"8.995,- pr. mdr.","Niels Juels Gade, Århus N",68 m²,2 vær.
1684834100-90,"9.996,- pr. mdr.","Eya Jensens Gade, Risskov",86 m²,4 vær.
1684834100-91,"12.792,- pr. mdr.","Bestlasgade, Åbyhøj",101 m²,4 vær.
1684834100-92,"12.650,- pr. mdr.","Ceresbyen, Århus C",85 m²,4 vær.
1684834100-93,"13.003,- pr. mdr.","Katrinebjergvej, Århus N",99 m²,4 vær.
