web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-40","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.400,- pr. mdr.","Thorvaldsensgade, Århus C","66 m²","2 vær."
"1684834100-41","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.640,- pr. mdr.","Tommy Seebachs Gade, Århus C","97 m²","4 vær."
"1684834100-42","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.300,- pr. mdr.","Ceresbyen, Århus C","72 m²","3 vær."
"1684834100-43","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.700,- pr. mdr.","Arresøvej, Risskov","42 m²","2 vær."
"1684834100-44","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.800,- pr. mdr.","Bestlasgade, Åbyhøj","63 m²","1 vær."
"1684834100-45","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Søren Frichs Vej, Åbyhøj","57 m²","2 vær."
"1684834100-46","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.174,- pr. mdr.","Eya Jensens Gade, Risskov","49 m²","2 vær."
"1684834100-47","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.400,- pr. mdr.","Jens Baggesens Vej, Århus N","48 m²","2 vær."
"1684834100-48","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.900,- pr. mdr.","morten børups gade, Århus C","71 m²","3 vær."
"1684834100-49","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.999,- pr. mdr.","Gebauersgade, Århus C","55 m²","2 vær."
"1684834100-50","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.400,- pr. mdr.","Børglumvej, Risskov","60 m²","3 vær."
"1684834100-51","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.595,- pr. mdr.","Tove Ditlevsens Gade, Risskov","51 m²","2 vær."
"1684834100-52","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.805,- pr. mdr.","Fredensgade, Århus C","33 m²","1 vær."
"1684834100-53","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.628,- pr. mdr.","Søndervangs Allé, Viby J","91 m²","4 vær."
"1684834100-54","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.995,- pr. mdr.","Vester Allé, Århus C","49 m²","2 vær."
"1684834100-55","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.200,- pr. mdr.","Broloftet, Risskov","82 m²","3 vær."
"1684834100-56","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.900,- pr. mdr.","Vester Allé, Århus C","66 m²","2 vær."
"1684834100-57","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Dirch Passers Gade, Århus C","42 m²","1 vær."
"1684834100-58","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.395,- pr. mdr.","Møllehatten, Risskov","85 m²","4 vær."
"1684834100-59","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.411,- pr. mdr.","Olof Palmes Allé, Århus N","80 m²","3 vær."
"1684834100-60","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","64 m²","3 vær."
"1684834100-61","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.685,- pr. mdr.","Eya Jensens Gade, Risskov","85 m²","4 vær."
"1684834100-62","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Dagmar Hansens Gade, Risskov","62 m²","3 vær."
"1684834100-63","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.670,- pr. mdr.","Doris Kæraas Gade, Risskov","60 m²","2 vær."
"1684834100-64","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.250,- pr. mdr.","Langelandsgade, Århus N","87 m²","4 vær."
"1684834100-65","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.564,- pr. mdr.","Eya Jensens Gade, Risskov","60 m²","2 vær."
"1684834100-66","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.015,- pr. mdr.","Solbakken, Risskov","89 m²","3 vær."
"1684834100-67","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.995,- pr. mdr.","Olof Palmes Allé, Århus N","32 m²","1 vær."
"1684834100-68","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.000,- pr. mdr.","Amaliegade, Århus C","121 m²","2 vær."
"1684834100-69","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.160,- pr. mdr.","Nordborggade, Århus C","67 m²","2 vær."
"1684834100-70","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Daubjergvej, Århus C","57 m²","2 vær."
"1684834100-71","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.645,- pr. mdr.","Ellen Jensens Gade, Risskov","102 m²","3 vær."
"1684834100-72","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.380,- pr. mdr.","Rosenkrantzgade, Århus C","83 m²","3 vær."
"1684834100-73","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.850,- pr. mdr.","Dagmar Hansens Gade, Risskov","77 m²","3 vær."
"1684834100-74","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.800,- pr. mdr.","Vindrosen, Risskov","85 m²","1 vær."
"1684834100-75","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.500,- pr. mdr.","Åboulevarden, Århus C","69 m²","3 vær."
"1684834100-76","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.237,- pr. mdr.","Engtoften, Viby J","108 m²","3 vær."
"1684834100-77","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.280,- pr. mdr.","Broloftet, Risskov","91 m²","3 vær."
"1684834100-78","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.804,- pr. mdr.","Doris Kæraas Gade, Risskov","61 m²","3 vær."
"1684834100-79","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","16.215,- pr. mdr.","Orla Lehmanns Allé, Århus C","162 m²","6 vær."
"1684834100-80","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.777,- pr. mdr.","Eya Jensens Gade, Risskov","64 m²","2 vær."
"1684834100-81","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.834,- pr. mdr.","Engtoften, Viby J","105 m²","4 vær."
"1684834100-82","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.929,- pr. mdr.","Skolegade, Århus C","92 m²","4 vær."
"1684834100-83","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","3.000,- pr. mdr.","Christian x’s vej, Højbjerg","30 m²","1 vær."
