web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-165","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.700,- pr. mdr.","Ringen, Århus N","65 m²","2 vær."
"1684834100-166","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.000,- pr. mdr.","Stockholmsgade, Århus N","68 m²","2 vær."
"1684834100-167","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.500,- pr. mdr.","Ringen, Århus N","54 m²","1 vær."
"1684834100-168","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.195,- pr. mdr.","Arresøvej, Risskov","510 m²","2 vær."
"1684834100-169","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.695,- pr. mdr.","Kræsten Iversens Vej, Højbjerg","132 m²","4 vær."
"1684834100-170","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.851,- pr. mdr.","Katrinebjergvej, Århus N","77 m²","3 vær."
"1684834100-171","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","35 m²","1 vær."
"1684834100-172","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.200,- pr. mdr.","Bifrostgade, Åbyhøj","60 m²","1 vær."
"1684834100-173","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.495,- pr. mdr.","Kappelvænget, Århus V","530 m²","2 vær."
"1684834100-174","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.200,- pr. mdr.","Kongevellen, Risskov","34 m²","1 vær."
"1684834100-175","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.200,- pr. mdr.","Christian X´s Vej, Viby J","114 m²","4 vær."
"1684834100-176","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.650,- pr. mdr.","Vestre Strandallé, Risskov","37 m²","1 vær."
"1684834100-177","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","39 m²","1 vær."
"1684834100-178","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.775,- pr. mdr.","Holme Møllevej, Viby J","85 m²","3 vær."
"1684834100-179","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.995,- pr. mdr.","Holme Møllevej, Viby J","96 m²","4 vær."
"1684834100-180","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Kongevellen, Risskov","51 m²","2 vær."
"1684834100-181","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.842,- pr. mdr.","Christian X´s Vej, Viby J","90 m²","3 vær."
"1684834100-182","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.950,- pr. mdr.","Vestre Strandallé, Risskov","31 m²","1 vær."
"1684834100-183","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.371,- pr. mdr.","Broloftet, Risskov","93 m²","3 vær."
"1684834100-184","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.000,- pr. mdr.","Thit Jensens Gade, Århus C","115 m²","5 vær."
"1684834100-185","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.659,- pr. mdr.","Kildegården, Århus C","111 m²","4 vær."
"1684834100-186","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.900,- pr. mdr.","Vestre Strandallé, Risskov","48 m²","1 vær."
"1684834100-187","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.450,- pr. mdr.","Vestre Strandallé, Risskov","33 m²","1 vær."
"1684834100-188","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Kongevellen, Risskov","51 m²","2 vær."
"1684834100-189","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","85 m²","3 vær."
"1684834100-190","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.418,- pr. mdr.","Strandparken, Århus C","107 m²","4 vær."
"1684834100-191","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","41 m²","1 vær."
"1684834100-192","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.700,- pr. mdr.","Amaliegade, Århus C","103 m²","2 vær."
"1684834100-193","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","16.068,- pr. mdr.","Rosenkrantzgade, Århus C","155 m²","4 vær."
"1684834100-194","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.250,- pr. mdr.","Olof Palmes Allé, Århus N","103 m²","4 vær."
"1684834100-195","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.295,- pr. mdr.","Vesterbrogade, Århus C","74 m²","3 vær."
"1684834100-196","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","16.900,- pr. mdr.","Peter Sabroes Gade, Århus C","110 m²","5 vær."
"1684834100-197","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.200,- pr. mdr.","Engtoften, Viby J","100 m²","3 vær."
"1684834100-198","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.195,- pr. mdr.","Otte Ruds Gade, Århus N","103 m²","4 vær."
"1684834100-199","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Kongevellen, Risskov","52 m²","2 vær."
"1684834100-200","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.115,- pr. mdr.","Christian X's Vej, Viby J","112 m²","4 vær."
"1684834100-201","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","84 m²","3 vær."
"1684834100-202","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.700,- pr. mdr.","Broloftet, Risskov","82 m²","3 vær."
"1684834100-203","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.250,- pr. mdr.","Bifrostgade, Åbyhøj","73 m²","1 vær."
"1684834100-204","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.400,- pr. mdr.","Guldsmedgade, Århus C","66 m²","2 vær."
"1684834100-205","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.609,- pr. mdr.","Kværnloftet, Risskov","69 m²","2 vær."
"1684834100-206","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.350,- pr. mdr.","Vestre Strandallé, Risskov","35 m²","1 vær."
"1684834100-207","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.400,- pr. mdr.","Arresøvej, Risskov","50 m²","2 vær."
"1684834100-208","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.996,- pr. mdr.","Eya Jensens Gade, Risskov","85 m²","4 vær."
"1684834100-209","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","84 m²","3 vær."
"1684834100-210","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.150,- pr. mdr.","Vestre Strandallé, Risskov","41 m²","1 vær."
"1684834100-211","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Kongevellen, Risskov","52 m²","2 vær."
"1684834100-212","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.495,- pr. mdr.","Kappelvænget, Århus V","480 m²","2 vær."
"1684834100-213","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.995,- pr. mdr.","Paludan Müllers Vej, Århus V","109 m²","4 vær."
"1684834100-214","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.800,- pr. mdr.","Engtoften, Viby J","85 m²","3 vær."
"1684834100-215","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.500,- pr. mdr.","Nordlandsvej, Risskov","50 m²","2 vær."
"1684834100-216","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.975,- pr. mdr.","Arresøvej, Risskov","78 m²","3 vær."
"1684834100-217","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.975,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-218","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.600,- pr. mdr.","Borggade, Århus C","61 m²","2 vær."
"1684834100-219","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.295,- pr. mdr.","Vestergårdsvej, Viby J","33 m²","1 vær."
"1684834100-220","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.150,- pr. mdr.","Lokesvej, Åbyhøj","113 m²","3 vær."
"1684834100-221","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.300,- pr. mdr.","Christian X's Vej, Viby J","29 m²","1 vær."
"1684834100-222","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.750,- pr. mdr.","Vestre Strandallé, Risskov","35 m²","1 vær."
"1684834100-223","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.300,- pr. mdr.","Kværnloftet, Risskov","100 m²","3 vær."
"1684834100-224","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.100,- pr. mdr.","Christian X's Vej, Viby J","29 m²","1 vær."
"1684834100-225","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.600,- pr. mdr.","Kongevellen, Risskov","68 m²","2 vær."
"1684834100-226","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.475,- pr. mdr.","Ceresbyen, Århus C","61 m²","2 vær."
"1684834100-227","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Jens Baggesens Vej, Århus N","48 m²","2 vær."
"1684834100-228","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.400,- pr. mdr.","Nørre Alle, Århus C","94 m²","2 vær."
"1684834100-229","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.400,- pr. mdr.","Trøjborgvej, Århus N","67 m²","3 vær."
"1684834100-230","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.975,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-231","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-232","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-233","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.500,- pr. mdr.","Damagervej, Viby J","55 m²","2 vær."
"1684834100-234","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.350,- pr. mdr.","Vestre Strandallé, Risskov","40 m²","1 vær."
"1684834100-235","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.150,- pr. mdr.","Vestre Strandallé, Risskov","35 m²","1 vær."
"1684834100-236","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.800,- pr. mdr.","marstrandsgade, Århus C","70 m²","2 vær."
"1684834100-237","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","41 m²","1 vær."
"1684834100-238","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.742,- pr. mdr.","Solbakken, Risskov","105 m²","4 vær."
"1684834100-239","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.500,- pr. mdr.","Trøjborgvej, Århus N","36 m²","1 vær."
"1684834100-240","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.200,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-241","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.900,- pr. mdr.","Thit Jensens Gade, Århus C","107 m²","4 vær."
"1684834100-242","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.092,- pr. mdr.","Sandbakken, Højbjerg","110 m²","4 vær."
"1684834100-243","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","84 m²","3 vær."
"1684834100-244","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.500,- pr. mdr.","Finderupvej, Århus C","61 m²","2 vær."
"1684834100-245","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","20.475,- pr. mdr.","Østre Skovvej, Risskov","182 m²","5 vær."
"1684834100-246","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.995,- pr. mdr.","Holme Møllevej, Viby J","87 m²","3 vær."
"1684834100-247","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.750,- pr. mdr.","Thit Jensens Gade, Århus C","140 m²","5 vær."
"1684834100-248","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.995,- pr. mdr.","Emiliedalsvej, Højbjerg","122 m²","4 vær."
"1684834100-249","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","84 m²","3 vær."
"1684834100-250","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","35 m²","1 vær."
"1684834100-251","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","38 m²","1 vær."
"1684834100-252","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.800,- pr. mdr.","Thorvaldsensgade, Århus C","71 m²","3 vær."
"1684834100-253","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.995,- pr. mdr.","Engtoften, Viby J","56 m²","2 vær."
"1684834100-254","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.150,- pr. mdr.","Rundhøj Allé , Højbjerg","67 m²","3 vær."
"1684834100-255","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.500,- pr. mdr.","Vesterport, Århus C","70 m²","2 vær."
"1684834100-256","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.900,- pr. mdr.","Chr. Værums Gade, Århus C","98 m²","1 vær."
"1684834100-257","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-258","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.975,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-259","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-260","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.750,- pr. mdr.","Vestre Strandallé, Risskov","41 m²","1 vær."
"1684834100-261","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.950,- pr. mdr.","Vestre Strandallé, Risskov","33 m²","1 vær."
"1684834100-262","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.900,- pr. mdr.","Vindrosen, Risskov","94 m²","2 vær."
"1684834100-263","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.150,- pr. mdr.","Vestre Strandallé, Risskov","38 m²","1 vær."
"1684834100-264","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","39 m²","1 vær."
"1684834100-265","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","36 m²","1 vær."
"1684834100-266","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.800,- pr. mdr.","Engkrogen, Viby J","48 m²","2 vær."
"1684834100-267","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.350,- pr. mdr.","Vestre Strandallé, Risskov","39 m²","1 vær."
"1684834100-268","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.542,- pr. mdr.","Olof Palmes Allé, Århus N","84 m²","3 vær."
"1684834100-269","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.751,- pr. mdr.","Eya Jensens Gade, Risskov","61 m²","3 vær."
"1684834100-270","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.950,- pr. mdr.","Thit Jensens Gade, Århus C","140 m²","5 vær."
"1684834100-271","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.580,- pr. mdr.","Skanderborgvej, Århus C","72 m²","2 vær."
"1684834100-272","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.500,- pr. mdr.","Kongevellen, Risskov","75 m²","3 vær."
"1684834100-273","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.300,- pr. mdr.","Engtoften, Viby J","76 m²","2 vær."
"1684834100-274","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.800,- pr. mdr.","Kværnloftet, Risskov","82 m²","3 vær."
"1684834100-275","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.337,- pr. mdr.","Skanderborgvej, Århus C","95 m²","4 vær."
"1684834100-276","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-277","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.600,- pr. mdr.","Arresøvej, Risskov","75 m²","3 vær."
"1684834100-278","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.700,- pr. mdr.","Vester Allé, Århus C","50 m²","1 vær."
"1684834100-279","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.800,- pr. mdr.","Broloftet, Risskov","93 m²","3 vær."
"1684834100-280","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.995,- pr. mdr.","Kristine Nielsens Gade, Århus C","65 m²","1 vær."
"1684834100-281","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.650,- pr. mdr.","Vestre Strandallé, Risskov","48 m²","1 vær."
"1684834100-282","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.400,- pr. mdr.","Kongevellen, Risskov","75 m²","3 vær."
"1684834100-283","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.500,- pr. mdr.","Thorvaldsensgade, Århus C","67 m²","2 vær."
"1684834100-284","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.495,- pr. mdr.","Telefonsmøgen, Århus C","87 m²","3 vær."
"1684834100-285","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.595,- pr. mdr.","Forteledet, Risskov","77 m²","3 vær."
"1684834100-286","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.750,- pr. mdr.","Forteledet, Risskov","103 m²","4 vær."
"1684834100-287","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.495,- pr. mdr.","Borresøvej, Risskov","58 m²","2 vær."
"1684834100-288","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.395,- pr. mdr.","Viby Torv, Viby J","101 m²","4 vær."
"1684834100-289","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.795,- pr. mdr.","Viby Torv, Viby J","77 m²","2 vær."
"1684834100-290","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.595,- pr. mdr.","Møllevangen, Tranbjerg J","470 m²","2 vær."
"1684834100-291","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.800,- pr. mdr.","Christian X's Vej, Viby J","88 m²","3 vær."
"1684834100-292","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Møllehatten, Risskov","62 m²","2 vær."
"1684834100-293","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Møllehatten, Risskov","59 m²","2 vær."
"1684834100-294","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.895,- pr. mdr.","Møllehatten, Risskov","64 m²","2 vær."
"1684834100-295","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.495,- pr. mdr.","Møllehatten, Risskov","62 m²","2 vær."
"1684834100-296","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.495,- pr. mdr.","Grete Løchtes Gade, Århus C","68 m²","3 vær."
"1684834100-297","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Arresøvej, Risskov","54 m²","2 vær."
"1684834100-298","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-299","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.400,- pr. mdr.","Kongevellen, Risskov","50 m²","2 vær."
"1684834100-300","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.900,- pr. mdr.","Kongevellen, Risskov","34 m²","1 vær."
"1684834100-301","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.050,- pr. mdr.","Dannebrogsgade, Århus C","69 m²","2 vær."
"1684834100-302","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.195,- pr. mdr.","Borresøvej, Risskov","88 m²","3 vær."
"1684834100-303","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.950,- pr. mdr.","Arresøvej, Risskov","69 m²","3 vær."
"1684834100-304","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.200,- pr. mdr.","Sonnesgade, Århus C","59 m²","2 vær."
"1684834100-305","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.900,- pr. mdr.","Kongevellen, Risskov","57 m²","2 vær."
"1684834100-306","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.960,- pr. mdr.","Tommy Seebachs Gade, Århus C","112 m²","3 vær."
"1684834100-307","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.225,- pr. mdr.","Ceresbyen, Århus C","76 m²","2 vær."
"1684834100-308","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.800,- pr. mdr.","Trøjborgvej, Århus N","64 m²","3 vær."
"1684834100-309","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.995,- pr. mdr.","Møllehatten, Risskov","64 m²","2 vær."
"1684834100-310","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.825,- pr. mdr.","Søren Frichs Vej, Århus C","99 m²","4 vær."
"1684834100-311","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.600,- pr. mdr.","Guldsmedgade, Århus C","129 m²","3 vær."
"1684834100-312","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.840,- pr. mdr.","John Mogensens Gade, Århus C","82 m²","3 vær."
"1684834100-313","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.200,- pr. mdr.","Dagmar Petersens Gade, Århus C","80 m²","2 vær."
"1684834100-314","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.400,- pr. mdr.","Kongevellen, Risskov","34 m²","1 vær."
"1684834100-315","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.895,- pr. mdr.","Møllehatten, Risskov","64 m²","2 vær."
"1684834100-316","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.380,- pr. mdr.","Helle Virkners Plads, Århus C","84 m²","3 vær."
"1684834100-317","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.300,- pr. mdr.","Kongevellen, Risskov","52 m²","2 vær."
"1684834100-318","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.900,- pr. mdr.","Ryhavevej, Århus V","118 m²","4 vær."
"1684834100-319","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-320","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Kongevellen, Risskov","48 m²","2 vær."
"1684834100-321","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.400,- pr. mdr.","Kongevellen, Risskov","48 m²","2 vær."
"1684834100-322","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.195,- pr. mdr.","Guldsmedgade, Århus C","64 m²","2 vær."
"1684834100-323","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.595,- pr. mdr.","Møllehatten, Risskov","62 m²","2 vær."
"1684834100-324","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Kongevellen, Risskov","64 m²","3 vær."
"1684834100-325","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Møllehatten, Risskov","65 m²","2 vær."
"1684834100-326","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.900,- pr. mdr.","Trøjborgvej, Århus N","65 m²","3 vær."
"1684834100-327","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.190,- pr. mdr.","Rødbedevej, Århus N","88 m²","4 vær."
"1684834100-328","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.180,- pr. mdr.","Tommy Seebachs Gade, Århus C","113 m²","4 vær."
"1684834100-329","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.300,- pr. mdr.","Arresøvej, Risskov","64 m²","3 vær."
"1684834100-330","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.570,- pr. mdr.","Helle Virkners Plads, Århus C","83 m²","3 vær."
"1684834100-331","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.995,- pr. mdr.","Engtoften, Viby J","56 m²","2 vær."
"1684834100-332","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.900,- pr. mdr.","Kongevellen, Risskov","37 m²","1 vær."
"1684834100-333","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.200,- pr. mdr.","Klokkerbakken, Århus V","72 m²","3 vær."
"1684834100-334","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.295,- pr. mdr.","Borresøvej, Risskov","93 m²","3 vær."
"1684834100-335","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.500,- pr. mdr.","Arresøvej, Risskov","54 m²","2 vær."
"1684834100-336","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.100,- pr. mdr.","Sifsgade, Åbyhøj","88 m²","4 vær."
"1684834100-337","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.458,- pr. mdr.","Engholms Alle, Risskov","89 m²","3 vær."
