website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
boligportal.dk,2014,apartment,5748,47,8240,Nordlandsvej,Risskov,2
boligportal.dk,2014,room,4300,20,8000,Thorvaldsensgade,Aarhus C,3
boligportal.dk,2014,room,3700,17,8000,Strandvejen,Aarhus C,1
boligportal.dk,2014,room,3900,20,8000,Nørre Allé,Aarhus C,1
boligportal.dk,2014,apartment,6895,57,8000,Daugbjervej,Aarhus C,2
boligportal.dk,2014,apartment,6890,64,8200,Ivar Huitfeldts Gade,Aarhus N,2
boligportal.dk,2014,apartment,6700,40,8210,Bronzealdervænget,Aarhus V,2
boligportal.dk,2014,apartment,5967,50,8260,Engtoften,Viby J,2
boligportal.dk,2014,apartment,8200,102,8000,Grønnegade,Aarhus C,3
boligportal.dk,2014,room,2702,14,8200,Jens Baggesens Vej,Aarhus N,1
boligportal.dk,2014,room,3150,14,8000,Fredensgade,Aarhus C,1
boligportal.dk,2014,room,3000,9,8200,Åbogade,Aarhus N,1
boligportal.dk,2014,room,4140,15,8000,Frederiks Allé,Aarhus C,1
boligportal.dk,2014,apartment,11500,92,8000,Kirkegårdsvej,Aarhus C,3
boligportal.dk,2014,room,3450,16,8000,Skovvejen,Aarhus C,1
boligportal.dk,2014,apartment,6850,51,8000,Kirkegårdsvej,Aarhus C,1
boligportal.dk,2014,apartment,5370,40,8000,Knudridsgade,Aarhus C,1
boligportal.dk,2014,apartment,6500,55,8200,Ivar Huitfeldts Gade,Aarhus N,2
boligportal.dk,2014,apartment,9950,96,8000,Helgenæsgade,Aarhus C,3
boligportal.dk,2014,room,1998,25,8000,Guldmedsgade,Aarhus C,1
boligportal.dk,2014,apartment,6000,61,8000,Silkeborgvej,Aarhus C,2
boligportal.dk,2014,room,3250,22,8000,Daugbjervej,Aarhus C,1
boligportal.dk,2014,room,3500,13,8200,Otto Ruds Gade,Aarhus N,1
boligportal.dk,2014,room,2600,16,8240,Tranekærvej,Risskov,1
boligportal.dk,2014,room,4000,19,8000,Store Torv,Aarhus C,1
boligportal.dk,2014,apartment,4660,35,8200,Brendstrupvej,Aarhus N,1
boligportal.dk,2014,apartment,5950,46,8000,Gebauersgade,Aarhus C,1
boligportal.dk,2014,room,3442,16,8000,Vesterbrogade,Aarhus C,1
boligportal.dk,2014,apartment,7959,75,8000,Carl Blochs Gade,Aarhus C,2
boligportal.dk,2014,apartment,4200,38,8230,Henrik Rantzaus Vej,Åbyhøj,1
boligportal.dk,2014,room,3800,12,8000,Frederiksgade,Aarhus C,1
boligportal.dk,2014,apartment,6500,65,8000,Marselis Boulevard,Aarhus C,2
boligportal.dk,2014,room,4000,20,8000,Odensegade,Aarhus C,1
boligportal.dk,2014,room,3200,30,8230,Frejasvej,Åbyhøj,1
boligportal.dk,2014,room,3200,20,8000,Rudolph Wulffs Gade,Aarhus C,1
boligportal.dk,2014,apartment,5010,44,8000,Søndre Ringgade,Aarhus C,1
boligportal.dk,2014,apartment,6300,56,8000,Mejlgade,Aarhus C,2
boligportal.dk,2014,apartment,8584,117,8240,Kantorparken,Risskov,4
boligportal.dk,2014,room,3000,30,8000,Carl Bertelsens Gade,Aarhus C,1
boligportal.dk,2014,room,2750,26,8260,Vinkelhøj,Viby J,1
boligportal.dk,2014,room,4500,28,8000,Hans Schourups Gade,Aarhus C,1
boligportal.dk,2015,apartment,18000,230,8000,Kystvejen,Aarhus C,4
boligportal.dk,2015,apartment,7400,55,8200,Jens Baggesens Vej,Aarhus N,2
boligportal.dk,2015,apartment,13500,132,8000,Havnegade,Aarhus C,3
boligportal.dk,2015,apartment,8240,61,8000,Max Müllers Gade,Aarhus C,2
boligportal.dk,2015,apartment,8329,69,8200,Brendstrupgårdsvej,Aarhus N,2
boligportal.dk,2015,apartment,4000,18,8000,Åboulevarden,Aarhus C,1
boligportal.dk,2015,apartment,8300,65,8000,Stadion Allé,Aarhus C,2
boligportal.dk,2015,apartment,15750,95,8000,Helga Pedersens Gade,Aarhus C,3
boligportal.dk,2015,apartment,4767,35,8000,Søndre Ringgade,Aarhus C,1
boligportal.dk,2015,apartment,8995,83,8000,Ålborggade,Aarhus C,3
boligportal.dk,2015,room,3500,18,8260,Søndervangs Alle,Viby J,1
boligportal.dk,2015,room,4000,16,8000,Klostergade,Aarhus C,1
boligportal.dk,2015,apartment,12000,89,8200,Trøjborgvej,Aarhus N,3
boligportal.dk,2015,room,4300,16,8000,Harald Jensens Plads,Aarhus C,1
boligportal.dk,2015,apartment,18000,230,8000,Kystvejen,Aarhus C,4
boligportal.dk,2015,apartment,7400,55,8200,Jens Baggesens Vej,Aarhus N,2
boligportal.dk,2015,apartment,13500,132,8000,Havnegade,Aarhus C,3
boligportal.dk,2015,apartment,8240,61,8000,Max Müllers Gade,Aarhus C,2
boligportal.dk,2015,room,4000,18,8000,Åboulevarden,Aarhus C,1
boligportal.dk,2015,apartment,8300,65,8000,Stadion Allé,Aarhus C,2
boligportal.dk,2015,apartment,15750,95,8000,Helga Pedersens Gade,Aarhus C,3
boligportal.dk,2015,apartment,4767,35,8000,Søndre Ringgade,Aarhus C,1
boligportal.dk,2015,apartment,8995,83,8000,Ålborggade,Aarhus C,3
boligportal.dk,2015,room,3500,18,8260,Søndervangs Allé,Viby J,1
boligportal.dk,2015,room,4000,16,8000,Klostergade,Aarhus C,1
boligportal.dk,2015,room,3419,23,8220,Langdalsvej,Brabrand,1
boligportal.dk,2015,apartment,14100,113,8000,Godthabsgade,Aarhus C,4
boligportal.dk,2015,apartment,8300,58,8000,Ryesgade,Aarhus C,2
boligportal.dk,2015,apartment,5900,67,8000,Bülowsgade,Aarhus C,2
