web-scraper-order,price,address,type_rooms_kvm
1684829047-59,8.876,"Lyøgade, Aarhus N",Lejlighed / 3 vær. / 70 m2
1684829047-60,6.500,"Skejbyparken, Aarhus N",Lejlighed / 2 vær. / 48 m2
1684829051-61,11.576,"Katrinebjergvej, Aarhus N",Lejlighed / 3 vær. / 86 m2
1684829051-62,8.900,"Valdemarsgade, Aarhus C",Lejlighed / 3 vær. / 82 m2
1684829051-63,15.600,"Guldsmedgade, Aarhus C",Lejlighed / 8 vær. / 142 m2
1684829051-64,6.265,"Tøndergade, Aarhus C",Lejlighed / 1 vær. / 40 m2
1684829051-65,6.500,"Børglumvej, Risskov",Lejlighed / 2 vær. / 44 m2
1684829051-66,9.400,"Nørre Alle, Aarhus C",Lejlighed / 2 vær. / 94 m2
1684829051-67,10.600,"Thit Jensens Gade, Aarhus C",Lejlighed / 3 vær. / 95 m2
1684829051-68,9.300,"Studsgade, Aarhus C",Lejlighed / 2 vær. / 80 m2
1684829051-69,10.190,"Rødbedevej, Aarhus N",Hus / 4 vær. / 88 m2
1684829051-70,10.920,"Fuglekærvej, Aarhus C",Lejlighed / 5 vær. / 104 m2
1684829051-71,7.095,"Kalmargade, Aarhus N",Lejlighed / 2 vær. / 63 m2
1684829051-72,9.995,"Paludan Müllers Vej, Aarhus V",Lejlighed / 4 vær. / 109 m2
1684829051-73,9.904,"Dirch Passers Gade, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829051-74,5.845,"Tulipanlunden, Aarhus N",Lejlighed / 2 vær. / 35 m2
1684829051-75,7.000,"Ivar Huitfeldts Gade, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829055-76,8.058,"Frederiks Allé, Aarhus C",Lejlighed / 2 vær. / 73 m2
1684829055-77,9.785,"Sønder Allé, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829055-78,8.650,"Åhusene, Aarhus C",Lejlighed / 3 vær. / 58 m2
1684829055-79,7.600,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 73 m2
1684829055-80,6.354,"Grøfthøjparken, Viby J",Lejlighed / 2 vær. / 67 m2
1684829055-81,10.995,"Edouard Suensons Gade, Aarhus N",Lejlighed / 4 vær. / 74 m2
1684829055-82,8.650,"Åhusene, Aarhus C",Lejlighed / 3 vær. / 58 m2
1684829055-83,13.200,"Banegårdsgade, Aarhus C",Lejlighed / 5 vær. / 113 m2
1684829055-84,3.500,"Hammershusvej, Aarhus V",Værelse / 1 vær. / 26 m2
1684829055-85,13.200,"Frederiksgade, Aarhus C",Lejlighed / 4 vær. / 145 m2
1684829055-86,9.795,"Amaliegade, Aarhus C",Lejlighed / 2 vær. / 59 m2
1684829055-87,6.307,"Eya Jensens Gade, Risskov",Lejlighed / 2 vær. / 50 m2
1684829055-88,7.995,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 57 m2
1684829055-89,12.800,"Thit Jensens Gade, Aarhus C",Lejlighed / 4 vær. / 96 m2
1684829055-90,4.000,"Vesterbro Torv, Aarhus C",Værelse / 1 vær. / 14 m2
1684829059-91,6.900,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 52 m2
1684829059-92,5.300,"Gøteborg Allé, Aarhus N",Lejlighed / 1 vær. / 31 m2
1684829059-93,9.900,"Carl Bertelsens Gade, Aarhus C",Lejlighed / 3 vær. / 90 m2
1684829059-94,8.500,"Vestergade, Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829059-95,10.950,"Fåborggade, Aarhus C",Lejlighed / 3 vær. / 100 m2
1684829059-96,8.300,"Vester Allé, Aarhus C",Lejlighed / 2 vær. / 66 m2
1684829059-97,9.880,"Rødbedevej, Aarhus N",Hus / 3 vær. / 88 m2
1684829059-98,7.595,"Vesterbrogade, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829059-99,8.840,"Engtoften, Viby J",Lejlighed / 3 vær. / 76 m2
1684829059-100,8.995,"Thorvaldsensgade, Aarhus C",Lejlighed / 2 vær. / 65 m2
1684829059-101,7.500,"Damagervej, Viby J",Lejlighed / 2 vær. / 49 m2
1684829059-102,13.500,"Ålborggade, Aarhus C",Lejlighed / 4 vær. / 109 m2
1684829059-103,7.495,"Silkeborgvej, Åbyhøj",Lejlighed / 3 vær. / 82 m2
1684829059-104,9.308,"Lerdalen, Højbjerg",Lejlighed / 3 vær. / 87 m2
1684829059-105,7.850,"Regenburgsgade, Aarhus C",Lejlighed / 2 vær. / 68 m2
1684829063-106,8.200,"Finderupvej, Aarhus C",Lejlighed / 2 vær. / 61 m2
1684829063-107,14.075,"H.N., Aarhus C",Lejlighed / 3 vær. / 89 m2
1684829063-108,9.500,"Lundingsgade, Aarhus C",Lejlighed / 2 vær. / 84 m2
1684829063-109,10.500,"Nordre Strandvej, Risskov",Lejlighed / 9 vær. / 92 m2
1684829063-110,3.200,"Nyborggade, Aarhus C",Værelse / 1 vær. / 15 m2
1684829063-111,13.995,"Sønder Allé, Aarhus C",Lejlighed / 4 vær. / 130 m2
1684829063-112,10.845,"Jyllands Allé, Aarhus C",Lejlighed / 3 vær. / 92 m2
1684829063-113,8.995,"Skovvejen, Aarhus C",Lejlighed / 2 vær. / 62 m2
1684829063-114,10.336,"Skanderborgvej, Aarhus C",Lejlighed / 4 vær. / 95 m2
1684829063-115,8.495,"Jægergårdsgade, Aarhus C",Lejlighed / 2 vær. / 67 m2
1684829063-116,8.482,"Guldsmedgade, Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829063-117,6.995,"Vester Allé, Aarhus C",Lejlighed / 2 vær. / 49 m2
1684829063-118,6.000,"H., Aarhus C",Lejlighed / 1 vær. / 38 m2
1684829063-119,8.800,"Frederiksbjerg, Aarhus C",Lejlighed / 1 vær. / 87 m2
1684829063-120,5.670,"Brassøvej, Risskov",Lejlighed / 1 vær. / 39 m2
1684829067-121,2.900,"Nyborggade, Aarhus C",Værelse / 1 vær. / 15 m2
1684829067-122,9.300,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 72 m2
1684829067-123,8.000,"Børglumvej, Risskov",Lejlighed / 3 vær. / 58 m2
1684829067-124,9.995,"Telefontorvet, Aarhus C",Lejlighed / 3 vær. / 107 m2
1684829067-125,11.659,"Kildegården , Aarhus C",Lejlighed / 4 vær. / 111 m2
1684829067-126,8.200,"østboulevarden, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829067-127,8.900,"Gøteborg Allé, Aarhus N",Lejlighed / 3 vær. / 72 m2
1684829067-128,14.825,"Søren Frichs Vej, Aarhus C",Lejlighed / 4 vær. / 99 m2
1684829067-129,11.554,"Museumsgade, Aarhus C",Lejlighed / 4 vær. / 94 m2
1684829067-130,1.448,"Klostergade, Aarhus C",Lejlighed / 1 vær. / 10 m2
1684829067-131,5.000,"Olof Palmes Allé , Aarhus N",Lejlighed / 1 vær. / 30 m2
1684829067-132,3.500,"Jens Baggesens Vej, Aarhus N",Værelse / 1 vær. / 20 m2
1684829067-133,7.000,"Skanderborgvej , Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829067-134,15.700,"Bestlasgade, Åbyhøj",Lejlighed / 4 vær. / 131 m2
1684829067-135,7.500,"Jens Baggesens Vej, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829071-136,8.400,"Lokesvej, Åbyhøj",Lejlighed / 2 vær. / 62 m2
1684829071-137,13.000,"Thit Jensens Gade, Aarhus C",Lejlighed / 5 vær. / 115 m2
1684829071-138,11.500,"Søndre Ringgade, Aarhus C",Lejlighed / 3 vær. / 101 m2
1684829071-139,5.996,"Vesterbrogade, Aarhus C",Lejlighed / 1 vær. / 54 m2
1684829071-140,9.000,"Malmøgade, Aarhus N",Lejlighed / 3 vær. / 65 m2
1684829071-141,4.875,"Emiliedalsvej, Højbjerg",Lejlighed / 1 vær. / 38 m2
1684829071-142,10.895,"Daugbjergvej, Aarhus C",Lejlighed / 3 vær. / 83 m2
1684829071-143,4.000,"Bergensgade Kl, Aarhus N",Værelse / 1 vær. / 23 m2
1684829071-144,11.091,"Sandbakken, Højbjerg",Lejlighed / 4 vær. / 110 m2
1684829071-145,7.633,"Grøfthøjparken, Viby J",Lejlighed / 4 vær. / 108 m2
1684829071-146,10.600,"Emiliedalsvej, Højbjerg",Lejlighed / 3 vær. / 84 m2
1684829071-147,7.800,"Marselis Boulevard, Aarhus C",Lejlighed / 2 vær. / 69 m2
1684829071-148,11.900,"Chr. Værums Gade , Aarhus C",Lejlighed / 1 vær. / 98 m2
1684829071-149,8.500,"Møllevangs Allé, Aarhus N",Lejlighed / 3 vær. / 59 m2
1684829071-150,14.000,"Højvangsvej, Viby J",Hus / 4 vær. / 139 m2
1684829075-151,7.995,"Møllehatten, Risskov",Lejlighed / 2 vær. / 65 m2
1684829075-152,5.495,"Kappelvænget, Aarhus V",Lejlighed / 2 vær. / 48 m2
1684829075-153,11.150,"Åbyvej, Åbyhøj",Lejlighed / 3 vær. / 85 m2
1684829075-154,8.500,"Helge Rodes Vej, Aarhus V",Lejlighed / 3 vær. / 73 m2
1684829075-155,11.800,"Emiliedalsvej, Højbjerg",Lejlighed / 3 vær. / 100 m2
1684829075-156,9.611,"Otto Brandenburgs Gade , Aarhus C",Lejlighed / 3 vær. / 70 m2
1684829075-157,8.695,"Møllehatten, Risskov",Lejlighed / 3 vær. / 65 m2
1684829075-158,9.708,"Sjællandsgade, Aarhus C",Lejlighed / 3 vær. / 75 m2
1684829075-159,9.900,"Vesterport, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829075-160,6.250,"Bronzealdervænget, Aarhus V",Lejlighed / 2 vær. / 42 m2
1684829075-161,9.200,"Broloftet, Risskov",Lejlighed / 3 vær. / 82 m2
1684829075-162,8.695,"Skovvejen, Aarhus C",Lejlighed / 2 vær. / 67 m2
1684829075-163,7.695,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 52 m2
1684829075-164,22.995,"Mariane Thomsens Gade, Aarhus C",Lejlighed / 4 vær. / 218 m2
1684829075-165,5.845,"Tulipanhaven, Aarhus N",Lejlighed / 2 vær. / 35 m2
1684829079-166,7.250,"Vintervej, Aarhus V",Lejlighed / 3 vær. / 52 m2
1684829079-167,8.608,"Kværnloftet, Risskov",Lejlighed / 2 vær. / 69 m2
1684829079-168,9.900,"Vesterport, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829079-169,7.595,"Skanderborgvej, Viby J",Lejlighed / 3 vær. / 58 m2
1684829079-170,8.155,"Drosbjerg, Viby J",Lejlighed / 3 vær. / 67 m2
1684829079-171,6.995,"Damagervej, Viby J",Lejlighed / 2 vær. / 67 m2
1684829079-172,7.750,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829079-173,11.500,"Åboulevarden, Aarhus C",Lejlighed / 3 vær. / 69 m2
1684829079-174,10.200,"Søren Frichs Vej, Åbyhøj",Lejlighed / 3 vær. / 77 m2
1684829079-175,8.500,"Vesterport, Aarhus C",Lejlighed / 2 vær. / 70 m2
1684829079-176,11.960,"Mejlgade, Aarhus C",Lejlighed / 3 vær. / 105 m2
1684829079-177,14.550,"Gustav Holms Vej, Aarhus N",Hus / 4 vær. / 128 m2
1684829079-178,7.160,"Nordborggade , Aarhus C",Lejlighed / 2 vær. / 67 m2
1684829079-179,7.500,"Dirch Passers Gade, Aarhus C",Lejlighed / 1 vær. / 42 m2
1684829079-180,8.595,"Vistihøjen, Aarhus N",Lejlighed / 3 vær. / 86 m2
1684829083-181,7.300,"Jens Baggesens Vej, Aarhus N",Lejlighed / 2 vær. / 48 m2
1684829083-182,10.000,"Viborgvej , Aarhus V",Hus / 1 vær. / 77 m2
1684829083-183,8.145,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 62 m2
1684829083-184,7.795,"Vintervej, Aarhus V",Lejlighed / 3 vær. / 62 m2
1684829083-185,12.168,"Skanderborgvej, Aarhus C",Lejlighed / 5 vær. / 108 m2
1684829083-186,15.650,"Thit Jensens Gade, Aarhus C",Lejlighed / 5 vær. / 140 m2
1684829083-187,4.265,"Molsgade, Aarhus C",Værelse / 1 vær. / 15 m2
1684829083-188,6.695,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 50 m2
1684829083-189,7.700,"Lokesvej, Åbyhøj",Lejlighed / 2 vær. / 51 m2
1684829083-190,10.595,"Daugbjergvej, Aarhus C",Lejlighed / 3 vær. / 83 m2
1684829083-191,6.820,"Onsholtvej, Viby J",Lejlighed / 2 vær. / 59 m2
1684829083-192,8.995,"Trøjborgvej, Aarhus N",Lejlighed / 3 vær. / 70 m2
1684829083-193,9.000,"Nørre Allé, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829083-194,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 45 m2
1684829083-195,4.000,"Viborgvej , Aarhus V",Værelse / 1 vær. / 11 m2
1684829087-196,7.600,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 73 m2
1684829087-197,7.895,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 58 m2
1684829087-198,11.100,"Sifsgade, Åbyhøj",Lejlighed / 4 vær. / 88 m2
1684829087-199,7.750,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829087-200,11.430,"Stenpassagen, Aarhus C",Lejlighed / 2 vær. / 75 m2
1684829087-201,9.500,"Søren Frichs Vej, Åbyhøj",Lejlighed / 3 vær. / 81 m2
1684829087-202,9.250,"Stenpassagen, Aarhus C",Lejlighed / 2 vær. / 58 m2
1684829087-203,7.154,"LisbjergBakke, Aarhus N",Lejlighed / 2 vær. / 80 m2
1684829087-204,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 36 m2
1684829087-205,7.887,"Tulipanlunden, Aarhus N",Lejlighed / 3 vær. / 64 m2
1684829087-206,11.000,"Åboulevarden, Aarhus C",Lejlighed / 3 vær. / 64 m2
1684829087-207,6.750,"Engtoften, Viby J",Lejlighed / 2 vær. / 52 m2
1684829087-208,9.495,"Finsensgade, Aarhus N",Lejlighed / 4 vær. / 85 m2
1684829087-209,10.995,"Otte Ruds Gade, Aarhus N",Lejlighed / 3 vær. / 82 m2
1684829087-210,7.500,"Rosenkrantzgade, Aarhus C",Lejlighed / 1 vær. / 47 m2
1684829091-211,9.300,"Sonnesgade, Aarhus C",Lejlighed / 2 vær. / 72 m2
1684829091-212,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 41 m2
1684829091-213,10.816,"Solsikkevænget, Aarhus N",Lejlighed / 3 vær. / 114 m2
1684829091-214,7.830,"Eya Jensens Gade, Risskov",Lejlighed / 3 vær. / 62 m2
1684829091-215,7.550,"Damagervej, Viby J",Lejlighed / 2 vær. / 54 m2
1684829091-216,9.148,"Dirch Passers Gade, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829091-217,5.555,"Hvidkløvervej, Aarhus N",Lejlighed / 1 vær. / 35 m2
1684829091-218,7.700,"Ringen, Aarhus N",Lejlighed / 2 vær. / 65 m2
1684829091-219,11.418,"Strandparken , Aarhus C",Lejlighed / 4 vær. / 107 m2
1684829091-220,4.950,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 31 m2
1684829091-221,11.750,"Åbyvej, Åbyhøj",Lejlighed / 3 vær. / 85 m2
1684829091-222,11.250,"Olof Palmes Allé, Aarhus N",Lejlighed / 4 vær. / 103 m2
1684829091-223,5.495,"Kappelvænget, Aarhus V",Lejlighed / 2 vær. / 53 m2
1684829091-224,8.250,"Møllevangs Allé, Aarhus N",Lejlighed / 3 vær. / 59 m2
1684829091-225,5.000,"Helga Pedersens gade  , Aarhus C",Værelse / 1 vær. / 9 m2
1684829095-226,4.950,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 33 m2
1684829095-227,6.695,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 50 m2
