web-scraper-order,pagination,price,address,rooms_type_kvm
1681720076-1446,,7.995 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 67 m²
1681720076-1447,,10.995 kr.,"Risskov, Møllehatten",4 vær. · Lejlighed · 85 m²
1681720076-1448,,4.800 kr.,"Højbjerg, Jelshøjvej",1 vær. · Lejlighed · 40 m²
1681720076-1449,,9.700 kr.,"Aarhus N, Gøteborg Allé",3 vær. · Lejlighed · 60 m²
1681720076-1450,,5.300 kr.,"Aarhus N, Gøteborg Allé",1 vær. · Lejlighed · 30 m²
1681720076-1451,,7.600 kr.,"Aarhus N, Gøteborg Allé",2 vær. · Lejlighed · 42 m²
1681720076-1452,,5.250 kr.,"Aarhus C, Vestergade",1 vær. · Værelse · 20 m²
1681720076-1453,,13.000 kr.,"Aarhus C, Odensegade",3 vær. · Lejlighed · 100 m²
1681720076-1454,,9.795 kr.,"Risskov, Tove Ditlevsens Gade",4 vær. · Lejlighed · 93 m²
1681720076-1455,,9.795 kr.,"Lystrup, Kastanjehaven",4 vær. · Rækkehus · 111 m²
1681720076-1456,,5.250 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 32 m²
1681720076-1457,,4.000 kr.,"Aarhus C, Skovvejen","1,5 vær. · Værelse · 40 m²"
1681720076-1458,,5.550 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 32 m²
1681720076-1459,,10.500 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 77 m²
1681720076-1460,,6.500 kr.,"Lystrup, Elsted Kirkeplads",3 vær. · Rækkehus · 96 m²
1681720076-1461,,12.322 kr.,"Viby J, Enghavevej",4 vær. · Lejlighed · 115 m²
1681720076-1462,,13.342 kr.,"Viby J, Engtoften",4 vær. · Lejlighed · 111 m²
1681720076-1463,,10.000 kr.,"Aarhus C, Skt. Pauls Gade",2 vær. · Lejlighed · 57 m²
1681720076-1464,,10.921 kr.,"Viby J, Engtoften",3 vær. · Lejlighed · 89 m²
1681720076-1465,,11.200 kr.,"Viby J, Engtoften",3 vær. · Lejlighed · 100 m²
1681720076-1466,,8.500 kr.,"Aarhus C, Irma Pedersens Gade",2 vær. · Lejlighed · 59 m²
1681720076-1467,,7.800 kr.,"Aarhus C, Dirch Passers Gade",1 vær. · Lejlighed · 42 m²
1681720076-1468,,14.000 kr.,"Viby J, Højvangsvej",4 vær. · Lejlighed · 139 m²
1681720076-1469,,14.000 kr.,"Egå, Brobjerg Parkvej",3 vær. · Lejlighed · 97 m²
1681720076-1470,,2.600 kr.,"Hasselager, Birkegårdsvej",1 vær. · Værelse · 16 m²
1681720076-1471,,9.000 kr.,"Aarhus N, Randersvej",4 vær. · Hus · 135 m²
1681720076-1472,,6.995 kr.,"Risskov, Skejbygårdsvej",2 vær. · Lejlighed · 63 m²
1681720076-1473,,6.750 kr.,"Brabrand, Søvej",2 vær. · Lejlighed · 56 m²
1681720076-1474,,13.000 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 97 m²
1681720076-1475,,2.070 kr.,"Trige, Gammel Landevej",1 vær. · Værelse · 30 m²
1681720076-1476,,7.900 kr.,"Aarhus V, Vintervej",2 vær. · Lejlighed · 55 m²
1681720076-1477,,7.300 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 53 m²
1681720076-1478,,6.795 kr.,"Risskov, Dagmar Hansens Gade",2 vær. · Lejlighed · 52 m²
1681720076-1479,,6.195 kr.,"Brabrand, Elna Munchs Gade",2 vær. · Lejlighed · 45 m²
1681720076-1480,,9.718 kr.,"Aarhus C, Jyllands Allé",3 vær. · Lejlighed · 92 m²
1681720076-1481,,6.500 kr.,"Aarhus V, Vintervej",2 vær. · Lejlighed · 53 m²
1681720076-1482,,23.500 kr.,"Aarhus C, Skolebakken",4 vær. · Lejlighed · 196 m²
1681720076-1483,,8.774 kr.,"Aarhus C, Hjarnøgade",2 vær. · Lejlighed · 93 m²
1681720076-1484,,4.880 kr.,"Viby J, Damagervej",1 vær. · Lejlighed · 23 m²
1681720076-1485,,8.750 kr.,"Skødstrup, Vosnæsparken",4 vær. · Rækkehus · 90 m²
1681720076-1486,,6.295 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 45 m²
1681720076-1487,,4.880 kr.,"Viby J, Damagervej",1 vær. · Lejlighed · 23 m²
1681720076-1488,,6.338 kr.,"Tilst, Honningvænget",2 vær. · Lejlighed · 42 m²
1681720076-1489,,9.100 kr.,"Aarhus N, Trøjborgvej",3 vær. · Lejlighed · 60 m²
1681720076-1490,,11.700 kr.,"Aarhus C, Knudrisgade",4 vær. · Lejlighed · 90 m²
1681720076-1491,,8.895 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 79 m²
1681720076-1492,,9.350 kr.,"Viby J, Engelundsvej",2 vær. · Rækkehus · 60 m²
1681720076-1493,,2.624 kr.,"Hasselager, Hasselengen",1 vær. · Lejlighed · 33 m²
1681720076-1494,,6.375 kr.,"Tilst, Stavnsvej",2 vær. · Lejlighed · 51 m²
1681720076-1495,,9.500 kr.,"Aarhus N, Gøteborg Allé",3 vær. · Lejlighed · 60 m²
1681720076-1496,,7.900 kr.,"Aarhus N, Gøteborg Allé",2 vær. · Lejlighed · 42 m²
1681720076-1497,,5.600 kr.,"Aarhus N, Gøteborg Allé",1 vær. · Lejlighed · 31 m²
1681720076-1498,,6.675 kr.,"Aarhus N, Gøteborg Allé",1 vær. · Lejlighed · 33 m²
1681720076-1499,,7.998 kr.,"Brabrand, Inger Christensens Gade",3 vær. · Lejlighed · 71 m²
1681720076-1500,,14.363 kr.,"Åbyhøj, Baldersgade",4 vær. · Lejlighed · 114 m²
1681720076-1501,,7.400 kr.,"Aarhus C, Fiskergade",1 vær. · Lejlighed · 54 m²
1681720076-1502,,5.500 kr.,"Hinnerup, Storegade",3 vær. · Lejlighed · 80 m²
1681720076-1503,,7.680 kr.,"Højbjerg, Oddervej",3 vær. · Lejlighed · 77 m²
1681720076-1504,,7.100 kr.,"Risskov, Tretommervej",2 vær. · Lejlighed · 51 m²
1681720076-1505,,8.195 kr.,"Aarhus N, Møllevangs Allé",2 vær. · Lejlighed · 60 m²
1681720076-1506,,7.300 kr.,"Risskov, Kongevellen",2 vær. · Lejlighed · 49 m²
1681720076-1507,,5.200 kr.,"Risskov, Kongevellen",1 vær. · Lejlighed · 34 m²
1681720076-1508,,7.300 kr.,"Risskov, Kongevellen",2 vær. · Lejlighed · 52 m²
1681720076-1509,,9.600 kr.,"Risskov, Kongevellen",2 vær. · Lejlighed · 68 m²
1681720076-1510,,9.200 kr.,"Aarhus N, Hvidkløvervej",3 vær. · Lejlighed · 91 m²
1681720076-1511,,10.300 kr.,"Risskov, Kongevellen",3 vær. · Lejlighed · 75 m²
1681720076-1512,,9.100 kr.,"Risskov, Kongevellen",3 vær. · Lejlighed · 64 m²
1681720076-1513,,2.500 kr.,"Åbyhøj, Rønne Allé",1 vær. · Værelse · 19 m²
1681720076-1514,,14.995 kr.,"Aarhus C, Kystvejen",4 vær. · Lejlighed · 154 m²
1681720076-1515,,4.400 kr.,"Aarhus N, Kornbakke Allé",1 vær. · Lejlighed · 50 m²
1681720076-1516,,9.725 kr.,"Aarhus C, Sønder Allé",3 vær. · Lejlighed · 72 m²
1681720076-1517,,20.000 kr.,"Aarhus C, Helga Pedersens Gade",3 vær. · Lejlighed · 106 m²
1681720076-1518,,8.295 kr.,"Tilst, Blomsterlunden",3 vær. · Lejlighed · 56 m²
1681720076-1519,,9.550 kr.,"Aarhus N, Olof Palmes Allé",3 vær. · Lejlighed · 69 m²
1681720076-1520,,9.495 kr.,"Tilst, Blomsterlunden",3 vær. · Lejlighed · 73 m²
1681720076-1521,,6.000 kr.,"Aarhus N, Egegade",1 vær. · Lejlighed · 32 m²
1681720076-1522,,10.800 kr.,"Aarhus C, Tage-Hansens Gade",4 vær. · Lejlighed · 82 m²
1681720076-1523,,11.400 kr.,"Højbjerg, Emiliehøj",4 vær. · Lejlighed · 111 m²
1681720076-1524,,5.000 kr.,"Viby J, Espegårdsvej",2 vær. · Lejlighed · 65 m²
1681720076-1525,,7.400 kr.,"Aarhus N, Oslogade",2 vær. · Lejlighed · 60 m²
1681720076-1526,,9.500 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 91 m²
1681720076-1527,,5.600 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 39 m²
1681720076-1528,,6.400 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 48 m²
1681720076-1529,,8.300 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 77 m²
1681720076-1530,,8.900 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 83 m²
1681720076-1531,,8.500 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 77 m²
1681720076-1532,,6.300 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 49 m²
1681720076-1533,,5.450 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 29 m²
1681720076-1534,,5.250 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 30 m²
1681720076-1535,,7.995 kr.,"Aarhus N, Brendstrupgårdsvej",3 vær. · Lejlighed · 58 m²
1681720076-1536,,9.400 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 82 m²
1681720076-1537,,11.900 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 106 m²
1681720076-1538,,9.500 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 79 m²
1681720076-1539,,9.700 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 81 m²
1681720076-1540,,4.950 kr.,"Brabrand, Engdalsvej","1,5 vær. · Lejlighed · 42 m²"
1681720076-1541,,10.600 kr.,"Aarhus C, Åhusene",3 vær. · Lejlighed · 68 m²
1681720076-1542,,15.800 kr.,"Aarhus C, Thit Jensens Gade",5 vær. · Lejlighed · 111 m²
1681720076-1543,,12.792 kr.,"Åbyhøj, Bestlasgade",4 vær. · Lejlighed · 101 m²
1681720076-1544,,7.100 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 50 m²
1681720076-1545,,9.000 kr.,"Aarhus N, Malmøgade",3 vær. · Lejlighed · 65 m²
1681720076-1546,,7.100 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 49 m²
1681720076-1547,,8.300 kr.,"Risskov, Arresøvej",3 vær. · Lejlighed · 68 m²
1681720076-1548,,10.700 kr.,"Aarhus C, Vester Allé",3 vær. · Lejlighed · 69 m²
1681720076-1549,,9.495 kr.,"Aarhus C, Dirch Passers Gade",2 vær. · Lejlighed · 61 m²
1681720076-1550,,8.950 kr.,"Aarhus C, Vesterport",2 vær. · Lejlighed · 70 m²
1681720076-1551,,9.350 kr.,"Aarhus C, Sønderport",4 vær. · Lejlighed · 107 m²
1681720076-1552,,6.700 kr.,"Viby J, Markvangen",2 vær. · Lejlighed · 45 m²
1681720076-1553,,7.995 kr.,"Aarhus C, Daubjergvej",2 vær. · Lejlighed · 61 m²
1681720076-1554,,8.295 kr.,"Aarhus C, Daubjergvej",2 vær. · Lejlighed · 60 m²
1681720076-1555,,10.695 kr.,"Aarhus C, Dirch Passers Gade",2 vær. · Lejlighed · 79 m²
1681720076-1556,,9.904 kr.,"Aarhus C, Dirch Passers Gade",3 vær. · Lejlighed · 72 m²
1681720076-1557,,9.995 kr.,"Aarhus C, Grete Løchtes Gade",3 vær. · Lejlighed · 68 m²
1681720076-1558,,13.189 kr.,"Aarhus C, Thomas Koppels Gade",4 vær. · Lejlighed · 97 m²
1681720076-1559,,9.680 kr.,"Aarhus C, John Mogensens Gade",3 vær. · Lejlighed · 67 m²
1681720076-1560,,10.500 kr.,"Aarhus C, Valdemars Have",3 vær. · Lejlighed · 70 m²
1681720076-1561,,9.400 kr.,"Åbyhøj, Bestlasgade",3 vær. · Lejlighed · 73 m²
1681720076-1562,,10.775 kr.,"Åbyhøj, Bifrostgade",3 vær. · Lejlighed · 93 m²
1681720076-1563,,7.800 kr.,"Åbyhøj, Lokesvej",2 vær. · Lejlighed · 63 m²
1681720076-1564,,15.885 kr.,"Aarhus C, Bissensgade",4 vær. · Lejlighed · 144 m²
1681720076-1565,,5.158 kr.,"Aarhus C, Ny Munkegade",1 vær. · Lejlighed · 24 m²
1681720076-1566,,4.750 kr.,"Aarhus C, Nørre Allé",1 vær. · Værelse · 13 m²
1681720076-1567,,9.500 kr.,"Aarhus C, Søndre Ringgade",3 vær. · Lejlighed · 95 m²
1681720076-1568,,12.550 kr.,"Aarhus C, Ceresbyen",4 vær. · Lejlighed · 85 m²
1681720076-1569,,8.499 kr.,"Aarhus N, Møllevangs Allé",3 vær. · Lejlighed · 60 m²
1681720076-1570,,7.400 kr.,"Risskov, Brassøvej",2 vær. · Lejlighed · 64 m²
1681720076-1571,,5.720 kr.,"Sabro, Grønvej",2 vær. · Lejlighed · 55 m²
1681720076-1572,,8.400 kr.,"Aarhus N, Skejbyparken",3 vær. · Lejlighed · 63 m²
1681720076-1573,,12.741 kr.,"Aarhus C, Finderupvej",4 vær. · Lejlighed · 87 m²
1681720076-1574,,8.876 kr.,"Aarhus N, Lyøgade",3 vær. · Lejlighed · 70 m²
1681720076-1575,,8.216 kr.,"Aarhus C, Langenæs Allé",2 vær. · Lejlighed · 66 m²
1681720076-1576,,8.350 kr.,"Aarhus N, Jens Baggesens Vej",2 vær. · Lejlighed · 55 m²
1681720076-1577,,2.706 kr.,"Aarhus N, Islandsgade",1 vær. · Værelse · 36 m²
1681720076-1578,,12.688 kr.,"Aarhus C, De Mezas Vej",4 vær. · Lejlighed · 105 m²
1681720076-1579,,12.950 kr.,"Aarhus C, Ceresbyen",4 vær. · Lejlighed · 85 m²
1681720076-1580,,8.850 kr.,"Aarhus C, Rosenkrantzgade",3 vær. · Lejlighed · 63 m²
1681720076-1581,,11.850 kr.,"Aarhus C, Søndre Ringgade",4 vær. · Lejlighed · 86 m²
1681720076-1582,,7.467 kr.,"Aarhus C, Thorvaldsensgade",2 vær. · Lejlighed · 58 m²
1681720076-1583,,7.650 kr.,"Aarhus N, Møllevangs Allé",2 vær. · Lejlighed · 54 m²
1681720076-1584,,9.900 kr.,"Aarhus C, Lundingsgade",2 vær. · Lejlighed · 71 m²
1681720076-1585,,12.700 kr.,"Aarhus C, Ryesgade",3 vær. · Lejlighed · 114 m²
1681720076-1586,,14.975 kr.,"Aarhus C, Ryesgade",4 vær. · Lejlighed · 133 m²
1681720076-1587,,3.600 kr.,"Beder, Byvej",1 vær. · Lejlighed · 46 m²
1681720076-1588,,15.450 kr.,"Aarhus C, Søndergade",4 vær. · Lejlighed · 150 m²
1681720076-1589,,5.995 kr.,"Brabrand, Gudrunsvej",2 vær. · Lejlighed · 46 m²
1681720076-1590,,10.300 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 72 m²
1681720076-1591,,7.825 kr.,"Risskov, Dagmar Hansens Gade",3 vær. · Lejlighed · 56 m²
1681720076-1592,,8.300 kr.,"Aarhus N, Willemoesgade",2 vær. · Lejlighed · 56 m²
1681720076-1593,,8.600 kr.,"Viby J, Engtoften",3 vær. · Lejlighed · 76 m²
1681720076-1594,,7.500 kr.,"Aarhus C, Åboulevarden",1 vær. · Lejlighed · 62 m²
1681720076-1595,,9.653 kr.,"Tilst, Tilst Parkvej",4 vær. · Rækkehus · 105 m²
1681720076-1596,,8.200 kr.,"Risskov, Kamma Klitgårds Gade",3 vær. · Lejlighed · 67 m²
1681720076-1597,,8.350 kr.,"Risskov, Skejbyvej",2 vær. · Lejlighed · 72 m²
1681720076-1598,,5.250 kr.,"Aarhus N, Olof Palmes Allé",1 vær. · Lejlighed · 32 m²
1681720076-1599,,4.000 kr.,"Aarhus C, Stadion Allé",1 vær. · Værelse · 19 m²
1681720076-1600,,6.900 kr.,"Hjortshøj, Hesselballevej",4 vær. · Hus · 110 m²
1681720076-1601,,6.775 kr.,"Risskov, Nordlandsvej",2 vær. · Lejlighed · 53 m²
1681720076-1602,,7.850 kr.,"Risskov, Kamma Klitgårds Gade",2 vær. · Lejlighed · 64 m²
1681720076-1603,,6.900 kr.,"Aarhus N, Olof Palmes Allé",2 vær. · Lejlighed · 52 m²
1681720076-1604,,11.250 kr.,"Aarhus N, Olof Palmes Allé",4 vær. · Lejlighed · 103 m²
1681720076-1605,,10.995 kr.,"Risskov, Broloftet",4 vær. · Lejlighed · 98 m²
1681720076-1606,,3.798 kr.,"Aarhus C, Langelandsgade",1 vær. · Værelse · 20 m²
1681720076-1607,,11.200 kr.,"Risskov, Broloftet",4 vær. · Lejlighed · 97 m²
1681720076-1608,,11.195 kr.,"Risskov, Broloftet",4 vær. · Lejlighed · 100 m²
1681720076-1609,,9.100 kr.,"Risskov, Vikærsvej",3 vær. · Lejlighed · 73 m²
1681720076-1610,,14.950 kr.,"Aarhus N, Olof Palmes Allé",5 vær. · Lejlighed · 123 m²
1681720076-1611,,16.450 kr.,"Aarhus N, Olof Palmes Allé",4 vær. · Lejlighed · 133 m²
1681720076-1612,,10.745 kr.,"Aarhus N, Vistihøjen",4 vær. · Lejlighed · 108 m²
1681720076-1613,,3.300 kr.,"Aarhus C, Studsgade",1 vær. · Værelse · 16 m²
1681720076-1614,,7.695 kr.,"Aarhus N, Vistihøjen",2 vær. · Lejlighed · 67 m²
1681720076-1615,,10.395 kr.,"Risskov, Dagmar Hansens Gade",3 vær. · Lejlighed · 88 m²
1681720076-1616,,5.000 kr.,"Viby J, Onsholtgårdsvej",3 vær. · Hus · 100 m²
1681720076-1617,,6.695 kr.,"Aarhus V, Vintervej",2 vær. · Lejlighed · 50 m²
1681720076-1618,,10.995 kr.,"Aarhus C, Maren Smeds Gyde",2 vær. · Lejlighed · 78 m²
1681720076-1619,,5.495 kr.,"Tilst, Honningvænget",1 vær. · Lejlighed · 37 m²
1681720076-1620,,6.500 kr.,"Risskov, Nordlandsvej",2 vær. · Lejlighed · 48 m²
1681720076-1621,,7.900 kr.,"Viby J, Engtoften",3 vær. · Lejlighed · 56 m²
1681720076-1622,,7.800 kr.,"Viby J, Engtoften",3 vær. · Lejlighed · 55 m²
1681720076-1623,,10.495 kr.,"Aarhus C, Thorvaldsensgade",2 vær. · Lejlighed · 65 m²
1681720076-1624,,5.700 kr.,"Viby J, Engtoften",1 vær. · Lejlighed · 40 m²
1681720076-1625,,10.995 kr.,"Aarhus C, Guldsmedgade",2 vær. · Lejlighed · 84 m²
1681720076-1626,,9.895 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 66 m²
1681720076-1627,,10.990 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 66 m²
1681720076-1628,,6.099 kr.,"Aarhus V, Vintervej",2 vær. · Lejlighed · 46 m²
1681720076-1629,,3.500 kr.,"Aarhus V, Svalevej",1 vær. · Værelse · 16 m²
1681720076-1630,,10.000 kr.,"Aarhus V, Dalbovej",2 vær. · Lejlighed · 135 m²
1681720076-1631,,16.000 kr.,"Solbjerg, Nordvejen",10 vær. · Hus · 218 m²
1681720076-1632,,6.800 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 47 m²
1681720076-1633,,9.050 kr.,"Aarhus C, Dannebrogsgade",2 vær. · Lejlighed · 69 m²
1681720076-1634,,7.695 kr.,"Aarhus V, Vintervej",3 vær. · Lejlighed · 70 m²
1681720076-1635,,8.895 kr.,"Hjortshøj, Mejlbyparken",4 vær. · Rækkehus · 130 m²
1681720076-1636,,4.490 kr.,"Viby J, Grøfthøjparken",1 vær. · Lejlighed · 42 m²
1681720076-1637,,5.900 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 39 m²
1681720076-1638,,8.155 kr.,"Viby J, Drosbjerg",3 vær. · Lejlighed · 67 m²
1681720076-1639,,10.700 kr.,"Aarhus N, Niels Juels Gade",2 vær. · Lejlighed · 88 m²
1681720076-1640,,7.500 kr.,"Aarhus C, Hjarnøgade",2 vær. · Lejlighed · 77 m²
1681720076-1641,,6.613 kr.,"Brabrand, Janesvej",3 vær. · Lejlighed · 90 m²
1681720076-1642,,3.900 kr.,"Lystrup, Møgelgårdsvej",1 vær. · Værelse · 20 m²
1681720076-1643,,7.200 kr.,"Åbyhøj, Carit Etlars Vej",2 vær. · Lejlighed · 56 m²
1681720076-1644,,13.500 kr.,"Hinnerup, Holmebakken",4 vær. · Hus · 135 m²
1681720076-1645,,9.600 kr.,"Aarhus C, Borggade",2 vær. · Lejlighed · 62 m²
1681720076-1646,,9.700 kr.,"Aarhus C, Borggade",2 vær. · Lejlighed · 61 m²
1681720076-1647,,7.195 kr.,"Brabrand, Engdalsvej",2 vær. · Lejlighed · 68 m²
1681720076-1648,,11.250 kr.,"Åbyhøj, Silkeborgvej",3 vær. · Lejlighed · 118 m²
1681720076-1649,,8.347 kr.,"Aarhus C, Finderupvej",2 vær. · Lejlighed · 61 m²
1681720076-1650,,7.500 kr.,"Aarhus C, Rosenkrantzgade",1 vær. · Lejlighed · 47 m²
1681720076-1651,,5.595 kr.,"Risskov, Pie Frandsens Gade",1 vær. · Lejlighed · 43 m²
1681720076-1652,,11.995 kr.,"Aarhus N, Otte Ruds Gade",4 vær. · Lejlighed · 103 m²
1681720076-1653,,4.000 kr.,"Solbjerg, Hyldevangen",1 vær. · Værelse · 11 m²
1681720076-1654,,5.695 kr.,"Risskov, Pie Frandsens Gade",1 vær. · Lejlighed · 43 m²
1681720076-1655,,9.900 kr.,"Aarhus C, Valdemarsgade",3 vær. · Lejlighed · 80 m²
1681720076-1656,,8.500 kr.,"Aarhus C, Skt. Anna Gade",3 vær. · Lejlighed · 90 m²
1681720076-1657,,9.375 kr.,"Aarhus C, Ceresbyen",2 vær. · Lejlighed · 61 m²
1681720076-1658,,4.900 kr.,"Viby J, Kaj Munks Vej",1 vær. · Værelse · 15 m²
1681720076-1659,,6.583 kr.,"Tilst, Havkærvej",2 vær. · Lejlighed · 54 m²
1681720076-1660,,11.000 kr.,"Risskov, Møllegangen",4 vær. · Lejlighed · 111 m²
1681720076-1661,,7.995 kr.,"Aarhus N, Olof Palmes Allé",2 vær. · Lejlighed · 60 m²
1681720076-1662,,13.231 kr.,"Åbyhøj, Sifsgade",4 vær. · Lejlighed · 112 m²
1681720076-1663,,9.095 kr.,"Aarhus N, Olof Palmes Allé",3 vær. · Lejlighed · 69 m²
1681720076-1664,,8.495 kr.,"Aarhus N, Olof Palmes Allé",3 vær. · Lejlighed · 60 m²
1681720076-1665,,10.950 kr.,"Aarhus C, Telefonsmøgen",3 vær. · Lejlighed · 94 m²
1681720076-1666,,7.300 kr.,"Aarhus N, Jens Baggesens Vej",2 vær. · Lejlighed · 48 m²
1681720076-1667,,9.200 kr.,"Aarhus C, Fiskergade",2 vær. · Lejlighed · 70 m²
1681720076-1668,,7.500 kr.,"Aarhus N, Trøjborgvej",2 vær. · Lejlighed · 46 m²
1681720076-1669,,9.708 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 63 m²
1681720076-1670,,3.250 kr.,"Højbjerg, Elverdalsvej",1 vær. · Værelse · 20 m²
1681720076-1671,,12.500 kr.,"Hinnerup, Lilleåbakken",5 vær. · Rækkehus · 142 m²
1681720076-1672,,8.195 kr.,"Åbyhøj, Søren Frichs Vej",2 vær. · Lejlighed · 52 m²
1681720076-1673,,11.450 kr.,"Åbyhøj, Søren Frichs Vej",4 vær. · Lejlighed · 105 m²
1681720076-1674,,14.295 kr.,"Åbyhøj, Søren Frichs Vej",4 vær. · Lejlighed · 110 m²
1681720076-1675,,11.595 kr.,"Åbyhøj, Søren Frichs Vej",4 vær. · Lejlighed · 105 m²
1681720076-1676,,8.150 kr.,"Åbyhøj, Søren Frichs Vej",2 vær. · Lejlighed · 58 m²
1681720076-1677,,8.395 kr.,"Åbyhøj, Søren Frichs Vej",2 vær. · Lejlighed · 58 m²
1681720076-1678,,7.600 kr.,"Aarhus C, Gebauersgade",2 vær. · Lejlighed · 50 m²
1681720076-1679,,6.495 kr.,"Tilst, Honningvænget",2 vær. · Lejlighed · 48 m²
1681720076-1680,,8.315 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 68 m²
1681720076-1681,,6.500 kr.,"Aarhus V, Ryvej",2 vær. · Lejlighed · 43 m²
1681720076-1682,,5.598 kr.,"Brabrand, Inger Christensens Gade",1 vær. · Lejlighed · 51 m²
1681720076-1683,,9.710 kr.,"Åbyhøj, Sifsgade",3 vær. · Lejlighed · 68 m²
1681720076-1684,,10.875 kr.,"Aarhus C, Mindegade",3 vær. · Lejlighed · 80 m²
1681720076-1685,,12.400 kr.,"Skødstrup, Engskovhaven",5 vær. · Rækkehus · 129 m²
1681720076-1686,,7.750 kr.,"Aarhus N, Olof Palmes Allé",2 vær. · Lejlighed · 62 m²
1681720076-1687,,13.550 kr.,"Aarhus C, Sonnesgade",4 vær. · Lejlighed · 87 m²
1681720076-1688,,7.195 kr.,"Risskov, Brassøvej",2 vær. · Lejlighed · 57 m²
1681720076-1689,,9.149 kr.,"Aarhus C, Langenæs Allé",2 vær. · Lejlighed · 73 m²
1681720076-1690,,11.225 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 79 m²
1681720076-1691,,11.195 kr.,"Risskov, Møllehatten",4 vær. · Lejlighed · 85 m²
1681720076-1692,,10.195 kr.,"Brabrand, Emma Gads Gade",4 vær. · Lejlighed · 113 m²
1681720076-1693,,9.295 kr.,"Brabrand, Elna Munchs Gade",4 vær. · Lejlighed · 103 m²
1681720076-1694,,11.495 kr.,"Brabrand, Emma Gads Gade",5 vær. · Lejlighed · 132 m²
1681720076-1695,,6.770 kr.,"Risskov, Nordlandsvej",2 vær. · Lejlighed · 53 m²
1681720076-1696,,7.500 kr.,"Risskov, Arresøvej",2 vær. · Lejlighed · 50 m²
1681720076-1697,,9.150 kr.,"Aarhus C, Ceresbyen",2 vær. · Lejlighed · 58 m²
1681720076-1698,,8.095 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 67 m²
1681720076-1699,,8.495 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 62 m²
1681720076-1700,,7.995 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 65 m²
1681720076-1701,,7.850 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 65 m²
1681720076-1702,,8.670 kr.,"Lystrup, Abildhaven",3 vær. · Rækkehus · 84 m²
1681720076-1703,,3.150 kr.,"Viby J, Vilhelm Becks Vej",1 vær. · Værelse · 14 m²
1681720076-1704,,8.670 kr.,"Lystrup, Abildhaven",3 vær. · Rækkehus · 84 m²
1681720076-1705,,7.995 kr.,"Aarhus N, Skejbytoften",2 vær. · Lejlighed · 60 m²
1681720076-1706,,7.895 kr.,"Lystrup, Ellebrinken",3 vær. · Lejlighed · 60 m²
1681720076-1707,,7.895 kr.,"Lystrup, Ellebrinken",2 vær. · Lejlighed · 60 m²
1681720076-1708,,8.695 kr.,"Lystrup, Ellebrinken",3 vær. · Rækkehus · 57 m²
1681720076-1709,,11.960 kr.,"Aarhus C, Søren Frichs Vej",3 vær. · Lejlighed · 82 m²
1681720076-1710,,8.999 kr.,"Trige, Byhøjparken",3 vær. · Rækkehus · 87 m²
1681720076-1711,,6.474 kr.,"Trige, Trige Parkvej",2 vær. · Lejlighed · 83 m²
1681720076-1712,,9.900 kr.,"Aarhus C, Dirch Passers Gade",3 vær. · Lejlighed · 66 m²
1681720076-1713,,14.000 kr.,"Aarhus C, Sdr. Ringgade",5 vær. · Lejlighed · 130 m²
1681720076-1714,,8.995 kr.,"Aarhus N, Tulipanlunden",3 vær. · Lejlighed · 68 m²
1681720076-1715,,5.845 kr.,"Aarhus N, Tulipanlunden",2 vær. · Lejlighed · 35 m²
