web-scraper-order,pagination,price,address,rooms_type_kvm
1681720076-925,,7.864 kr.,"Brabrand, Janesvej",4 vær. · Lejlighed · 120 m²
1681720076-926,,11.363 kr.,"Aarhus C, Ceresbyen",4 vær. · Lejlighed · 73 m²
1681720076-927,,12.250 kr.,"Aarhus C, Fiskergade",3 vær. · Lejlighed · 86 m²
1681720076-928,,6.495 kr.,"Aarhus N, Nordre Ringgade",2 vær. · Lejlighed · 60 m²
1681720076-929,,10.816 kr.,"Aarhus C, Jyllands Allé",3 vær. · Lejlighed · 95 m²
1681720076-930,,12.206 kr.,"Aarhus C, Strandparken",4 vær. · Lejlighed · 112 m²
1681720076-931,,10.296 kr.,"Aarhus C, Vesterbrogade",3 vær. · Lejlighed · 74 m²
1681720076-932,,10.456 kr.,"Aarhus C, Langelandsgade",3 vær. · Lejlighed · 73 m²
1681720076-933,,6.796 kr.,"Aarhus C, Skanderborgvej",2 vær. · Lejlighed · 62 m²
1681720076-934,,9.090 kr.,"Aarhus C, Nordborggade",3 vær. · Lejlighed · 85 m²
1681720076-935,,10.130 kr.,"Aarhus C, Strandparken",3 vær. · Lejlighed · 83 m²
1681720076-936,,9.806 kr.,"Aarhus C, Vesterbrogade",3 vær. · Lejlighed · 82 m²
1681720076-937,,10.190 kr.,"Aarhus C, Hjortensgade",3 vær. · Lejlighed · 78 m²
1681720076-938,,3.500 kr.,"Aarhus N, Funch Thomsens Gade",1 vær. · Værelse · 16 m²
1681720076-939,,11.426 kr.,"Aarhus C, M.P. Bruuns Gade",3 vær. · Lejlighed · 91 m²
1681720076-940,,11.425 kr.,"Hørning, Elgårdsmindeparken",4 vær. · Rækkehus · 115 m²
1681720076-941,,3.500 kr.,"Aarhus N, Bodøvej",1 vær. · Værelse · 15 m²
1681720076-942,,3.300 kr.,"Viby J, Markvangen",1 vær. · Værelse · 13 m²
1681720076-943,,7.000 kr.,"Åbyhøj, J. Skjoldborgs Vej",2 vær. · Lejlighed · 62 m²
1681720076-944,,6.750 kr.,"Viby J, Engtoften",2 vær. · Lejlighed · 52 m²
1681720076-945,,12.995 kr.,"Aarhus C, Rudolph Wulffs Gade",4 vær. · Lejlighed · 101 m²
1681720076-946,,10.995 kr.,"Viby J, Holme Møllevej",4 vær. · Lejlighed · 96 m²
1681720076-947,,9.295 kr.,"Aarhus C, Kongsvang Allé",2 vær. · Lejlighed · 73 m²
1681720076-948,,5.895 kr.,"Højbjerg, Oddervej",1 vær. · Lejlighed · 45 m²
1681720076-949,,6.900 kr.,"Aarhus N, Skovvangsvej",2 vær. · Lejlighed · 59 m²
1681720076-950,,5.800 kr.,"Hinnerup, Århusvej",4 vær. · Lejlighed · 124 m²
1681720076-951,,11.500 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 91 m²
1681720076-952,,6.000 kr.,"Aarhus N, Roald Amundsens Vej",1 vær. · Værelse · 17 m²
1681720076-953,,5.534 kr.,"Aarhus C, Knudrisgade",1 vær. · Lejlighed · 50 m²
1681720076-954,,11.750 kr.,"Aarhus C, Sonnesgade",3 vær. · Lejlighed · 90 m²
1681720076-955,,15.180 kr.,"Aarhus C, Sonnesgade",4 vær. · Lejlighed · 114 m²
1681720076-956,,6.245 kr.,"Aarhus N, Skejbyparken",2 vær. · Lejlighed · 46 m²
1681720076-957,,3.390 kr.,"Risskov, Grenåvej",1 vær. · Værelse · 25 m²
1681720076-958,,7.633 kr.,"Viby J, Grøfthøjparken",4 vær. · Lejlighed · 108 m²
1681720076-959,,7.800 kr.,"Aarhus C, Nordborggade",2 vær. · Lejlighed · 64 m²
1681720076-960,,2.328 kr.,"Aarhus C, Vestervang",1 vær. · Værelse · 20 m²
1681720076-961,,7.299 kr.,"Aarhus C, Ceres Allé",1 vær. · Lejlighed · 56 m²
1681720076-962,,7.500 kr.,"Aarhus C, Ceres Allé",1 vær. · Lejlighed · 71 m²
1681720076-963,,13.500 kr.,"Aarhus C, Sonnesgade",4 vær. · Lejlighed · 86 m²
1681720076-964,,8.098 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 63 m²
1681720076-965,,10.499 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 90 m²
1681720076-966,,8.185 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 67 m²
1681720076-967,,11.295 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 99 m²
1681720076-968,,8.625 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 77 m²
1681720076-969,,9.300 kr.,"Aarhus C, Thunøgade",2 vær. · Lejlighed · 69 m²
1681720076-970,,9.395 kr.,"Aarhus C, Carl Blochs Gade",3 vær. · Lejlighed · 78 m²
1681720076-971,,5.350 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 39 m²
1681720076-972,,5.000 kr.,"Aarhus C, Grønnegade",1 vær. · Værelse · 24 m²
1681720076-973,,13.104 kr.,"Aarhus C, Fynsgade",3 vær. · Lejlighed · 100 m²
1681720076-974,,4.900 kr.,"Aarhus N, Jens Baggesens Vej",1 vær. · Lejlighed · 36 m²
1681720076-975,,7.089 kr.,"Risskov, Tretommervej",2 vær. · Lejlighed · 51 m²
1681720076-976,,8.112 kr.,"Aarhus N, Solsikkevænget",2 vær. · Lejlighed · 64 m²
1681720076-977,,6.995 kr.,"Brabrand, Elna Munchs Gade",2 vær. · Lejlighed · 57 m²
1681720076-978,,4.795 kr.,"Aarhus N, Kalmargade",1 vær. · Lejlighed · 43 m²
1681720076-979,,10.825 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 79 m²
1681720076-980,,15.995 kr.,"Højbjerg, Emiliedalen",5 vær. · Rækkehus · 128 m²
1681720076-981,,3.102 kr.,"Brabrand, Karen Blixens Boulevard",1 vær. · Værelse · 35 m²
1681720076-982,,2.806 kr.,"Aarhus V, Bronzealdervænget",1 vær. · Lejlighed · 33 m²
1681720076-983,,8.795 kr.,"Brabrand, Emma Gads Gade",4 vær. · Lejlighed · 93 m²
1681720076-984,,8.495 kr.,"Brabrand, Gudrunsvej",3 vær. · Lejlighed · 86 m²
1681720076-985,,9.400 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 64 m²
1681720076-986,,12.917 kr.,"Aarhus C, Marselis Boulevard",4 vær. · Lejlighed · 122 m²
1681720076-987,,6.600 kr.,"Sabro, Graven",3 vær. · Rækkehus · 85 m²
1681720076-988,,6.600 kr.,"Trige, gammellandevej",4 vær. · Lejlighed · 90 m²
1681720076-989,,5.501 kr.,"Aarhus C, Nordborggade",1 vær. · Lejlighed · 42 m²
1681720076-990,,8.995 kr.,"Aarhus C, Skovvejen",2 vær. · Lejlighed · 62 m²
1681720076-991,,8.800 kr.,"Aarhus C, Skovvejen",2 vær. · Lejlighed · 46 m²
1681720076-992,,6.200 kr.,"Trige, Spørring Kirkevej",2 vær. · Lejlighed · 70 m²
1681720076-993,,13.100 kr.,"Aarhus C, Thit Jensens Gade",4 vær. · Lejlighed · 96 m²
1681720076-994,,7.200 kr.,"Aarhus C, De Mezas Vej",1 vær. · Lejlighed · 55 m²
1681720076-995,,8.200 kr.,"Aarhus C, Finderupvej",2 vær. · Lejlighed · 61 m²
1681720076-996,,13.300 kr.,"Aarhus C, Fiskergade",4 vær. · Lejlighed · 102 m²
1681720076-997,,8.195 kr.,"Risskov, Skejbygårdsvej",3 vær. · Lejlighed · 64 m²
1681720076-998,,5.995 kr.,"Risskov, Skejbygårdsvej",1 vær. · Lejlighed · 39 m²
1681720076-999,,7.995 kr.,"Risskov, Skejbygårdsvej",3 vær. · Lejlighed · 60 m²
1681720076-1000,,7.995 kr.,"Risskov, Skejbygårdsvej",2 vær. · Lejlighed · 61 m²
1681720076-1001,,6.195 kr.,"Risskov, Skejbygårdsvej",2 vær. · Lejlighed · 39 m²
1681720076-1002,,8.798 kr.,"Brabrand, Inger Christensens Gade",4 vær. · Lejlighed · 86 m²
1681720076-1003,,10.900 kr.,"Aarhus C, Vestergade",2 vær. · Lejlighed · 75 m²
1681720076-1004,,8.200 kr.,"Aarhus N, Gøteborg Allé",2 vær. · Lejlighed · 42 m²
1681720076-1005,,5.950 kr.,"Aarhus V, Bronzealdervænget",2 vær. · Lejlighed · 41 m²
1681720076-1006,,15.000 kr.,"Aarhus N, Gøteborg Allé",3 vær. · Lejlighed · 94 m²
1681720076-1007,,10.000 kr.,"Aarhus N, Gøteborg Allé",2 vær. · Lejlighed · 56 m²
1681720076-1008,,10.675 kr.,"Aarhus N, Skovvangsvej",3 vær. · Lejlighed · 69 m²
1681720076-1009,,9.950 kr.,"Aarhus C, Dalgas Avenue",3 vær. · Lejlighed · 58 m²
1681720076-1010,,12.050 kr.,"Hinnerup, Skovmårvej",4 vær. · Rækkehus · 120 m²
1681720076-1011,,7.800 kr.,"Aarhus C, Grønnegade",2 vær. · Lejlighed · 55 m²
1681720076-1012,,9.750 kr.,"Aarhus C, Helle Virkners Plads",3 vær. · Lejlighed · 67 m²
1681720076-1013,,5.860 kr.,"Brabrand, Kirsten Holsts Gade",2 vær. · Lejlighed · 48 m²
1681720076-1014,,5.740 kr.,"Brabrand, Gudrunsvej",2 vær. · Lejlighed · 47 m²
1681720076-1015,,9.595 kr.,"Risskov, Forteledet",3 vær. · Lejlighed · 77 m²
1681720076-1016,,7.495 kr.,"Risskov, Borresøvej",2 vær. · Lejlighed · 58 m²
1681720076-1017,,8.695 kr.,"Højbjerg, Oddervej",2 vær. · Lejlighed · 69 m²
1681720076-1018,,9.995 kr.,"Viby J, Holme Møllevej",3 vær. · Lejlighed · 87 m²
1681720076-1019,,12.095 kr.,"Aarhus C, Ålborggade",3 vær. · Lejlighed · 89 m²
1681720076-1020,,9.550 kr.,"Viby J, Holme Møllevej",3 vær. · Lejlighed · 83 m²
1681720076-1021,,8.795 kr.,"Viby J, Viby Torv",2 vær. · Lejlighed · 77 m²
1681720076-1022,,16.095 kr.,"Aarhus C, Østergade",3 vær. · Lejlighed · 106 m²
