web-scraper-order,web-scraper-start-url,pagination,price,address,rooms_type_kvm
1681720076-904,https://www.boligportal.dk/lejeboliger/aarhus/,,7.595 kr.,"Aarhus N, Jens Baggesens Vej",2 vær. · Lejlighed · 51 m²
1681720076-905,https://www.boligportal.dk/lejeboliger/aarhus/,,11.400 kr.,"Aarhus C, Vestergade",3 vær. · Lejlighed · 106 m²
1681720076-906,https://www.boligportal.dk/lejeboliger/aarhus/,,7.995 kr.,"Viby J, Skanderborgvej",3 vær. · Lejlighed · 77 m²
1681720076-907,https://www.boligportal.dk/lejeboliger/aarhus/,,1.752 kr.,"Aarhus C, M. P. Bruuns Gade",1 vær. · Værelse · 11 m²
1681720076-908,https://www.boligportal.dk/lejeboliger/aarhus/,,11.250 kr.,"Sabro, Rønnevangen",5 vær. · Rækkehus · 125 m²
1681720076-909,https://www.boligportal.dk/lejeboliger/aarhus/,,13.500 kr.,"Aarhus C, Thorvaldsensgade",4 vær. · Lejlighed · 97 m²
1681720076-910,https://www.boligportal.dk/lejeboliger/aarhus/,,9.250 kr.,"Brabrand, Truevej",3 vær. · Lejlighed · 73 m²
1681720076-911,https://www.boligportal.dk/lejeboliger/aarhus/,,9.950 kr.,"Aarhus C, Åboulevarden",3 vær. · Lejlighed · 66 m²
1681720076-912,https://www.boligportal.dk/lejeboliger/aarhus/,,8.695 kr.,"Brabrand, Truevej",3 vær. · Lejlighed · 70 m²
1681720076-913,https://www.boligportal.dk/lejeboliger/aarhus/,,9.795 kr.,"Aarhus C, Thorvaldsensgade",2 vær. · Lejlighed · 68 m²
1681720076-914,https://www.boligportal.dk/lejeboliger/aarhus/,,8.800 kr.,"Aarhus N, Skejbyparken",4 vær. · Lejlighed · 77 m²
1681720076-915,https://www.boligportal.dk/lejeboliger/aarhus/,,10.845 kr.,"Aarhus C, Jyllands Allé",3 vær. · Lejlighed · 92 m²
1681720076-916,https://www.boligportal.dk/lejeboliger/aarhus/,,10.702 kr.,"Aarhus N, Tordenskjoldsgade",3 vær. · Lejlighed · 87 m²
1681720076-917,https://www.boligportal.dk/lejeboliger/aarhus/,,8.900 kr.,"Aarhus V, Hammershusvej",4 vær. · Lejlighed · 79 m²
1681720076-918,https://www.boligportal.dk/lejeboliger/aarhus/,,3.102 kr.,"Brabrand, Karen Blixens Boulevard",1 vær. · Værelse · 35 m²
1681720076-919,https://www.boligportal.dk/lejeboliger/aarhus/,,12.995 kr.,"Aarhus C, Janus La Cours Gade",3 vær. · Lejlighed · 97 m²
1681720076-920,https://www.boligportal.dk/lejeboliger/aarhus/,,5.965 kr.,"Aarhus C, Tøndergade",2 vær. · Lejlighed · 57 m²
1681720076-921,https://www.boligportal.dk/lejeboliger/aarhus/,,7.495 kr.,"Risskov, Borresøvej",2 vær. · Lejlighed · 58 m²
1681720076-922,https://www.boligportal.dk/lejeboliger/aarhus/,,5.895 kr.,"Risskov, Møllehatten",1 vær. · Lejlighed · 44 m²
1681720076-923,https://www.boligportal.dk/lejeboliger/aarhus/,,5.800 kr.,"Åbyhøj, Erik Bøghs vej",2 vær. · Lejlighed · 55 m²
1681720076-924,https://www.boligportal.dk/lejeboliger/aarhus/,,10.900 kr.,"Aarhus V, Hammershusvej",4 vær. · Lejlighed · 103 m²
1681720076-925,https://www.boligportal.dk/lejeboliger/aarhus/,,7.864 kr.,"Brabrand, Janesvej",4 vær. · Lejlighed · 120 m²
1681720076-926,https://www.boligportal.dk/lejeboliger/aarhus/,,11.363 kr.,"Aarhus C, Ceresbyen",4 vær. · Lejlighed · 73 m²
1681720076-927,https://www.boligportal.dk/lejeboliger/aarhus/,,12.250 kr.,"Aarhus C, Fiskergade",3 vær. · Lejlighed · 86 m²
1681720076-928,https://www.boligportal.dk/lejeboliger/aarhus/,,6.495 kr.,"Aarhus N, Nordre Ringgade",2 vær. · Lejlighed · 60 m²
1681720076-929,https://www.boligportal.dk/lejeboliger/aarhus/,,10.816 kr.,"Aarhus C, Jyllands Allé",3 vær. · Lejlighed · 95 m²
1681720076-930,https://www.boligportal.dk/lejeboliger/aarhus/,,12.206 kr.,"Aarhus C, Strandparken",4 vær. · Lejlighed · 112 m²
1681720076-931,https://www.boligportal.dk/lejeboliger/aarhus/,,10.296 kr.,"Aarhus C, Vesterbrogade",3 vær. · Lejlighed · 74 m²
1681720076-932,https://www.boligportal.dk/lejeboliger/aarhus/,,10.456 kr.,"Aarhus C, Langelandsgade",3 vær. · Lejlighed · 73 m²
1681720076-933,https://www.boligportal.dk/lejeboliger/aarhus/,,6.796 kr.,"Aarhus C, Skanderborgvej",2 vær. · Lejlighed · 62 m²
1681720076-934,https://www.boligportal.dk/lejeboliger/aarhus/,,9.090 kr.,"Aarhus C, Nordborggade",3 vær. · Lejlighed · 85 m²
1681720076-935,https://www.boligportal.dk/lejeboliger/aarhus/,,10.130 kr.,"Aarhus C, Strandparken",3 vær. · Lejlighed · 83 m²
1681720076-936,https://www.boligportal.dk/lejeboliger/aarhus/,,9.806 kr.,"Aarhus C, Vesterbrogade",3 vær. · Lejlighed · 82 m²
1681720076-937,https://www.boligportal.dk/lejeboliger/aarhus/,,10.190 kr.,"Aarhus C, Hjortensgade",3 vær. · Lejlighed · 78 m²
